pid,name,team,pos,height_in,ratings_hgt,ovr,skills,gp,mpg,bpm,obpm,dbpm,pm100,onOff100,impact_gap_pm100,impact_gap_onoff,dbpm_vs_onoff_gap,stl_per36,blk_per36,trb_per36,ast_per36,archetype,band,comparison_to_yogi
166,Spencer Dinwiddie,CHA,G,77,40,61,3;Ps,80,27.85,3.6475,2.7157,0.9318,7.49,10.32,-3.8466,-6.6765,-9.3922,1.066,0.291,4.72,8.998,normal_guard,band_1,"PM100 lower by -2.7, OnOff higher by +5.5. Archetype: normal_guard. Ratings: OVR 61, DIQ 49"
189,Jawun Evans,MIA,PG,72,30,57,Ps,24,20.82,0.1533,-0.6990,0.8523,-3.04,-10.64,3.1907,10.7942,11.4932,1.225,0.360,2.95,7.134,small_guard,band_2,"PM100 lower by -13.2, OnOff lower by -15.4. Archetype: small_guard. Ratings: OVR 57, DIQ 57"
200,Yogi Ferrell,PHI,G,72,29,61,3;Ps,62,21.18,3.4558,2.2937,1.1620,10.14,4.79,-6.6891,-1.3329,-3.6266,1.069,0.247,3.59,6.168,small_guard,band_1,Yogi Ferrell himself
279,Jrue Holiday,CHI,G,76,43,58,Ps,71,23.43,-0.2006,-1.0321,0.8315,0.09,4.85,-0.2859,-5.0512,-4.0191,1.428,0.195,4.22,7.336,normal_guard,band_2,"PM100 lower by -10.1, OnOff higher by +0.1. Archetype: normal_guard. Ratings: OVR 58, DIQ 57"
433,Khris Middleton,CHI,GF,79,48,63,,62,31.94,1.9130,1.0870,0.8260,-4.58,-3.72,6.4975,5.6357,4.5487,1.200,0.127,5.94,4.690,playmaking_big_or_wing,band_2,"PM100 lower by -14.7, OnOff lower by -8.5. Archetype: playmaking_big_or_wing. Ratings: OVR 63, DIQ 60"
444,Donovan Mitchell,UTA,G,75,35,72,3;B;Dp;Po;Ps;V,58,35.92,7.1747,6.3330,0.8416,10.55,8.12,-3.3739,-0.9465,-7.2795,1.400,0.138,4.53,5.513,normal_guard,band_2,"PM100 higher by +0.4, OnOff higher by +3.3. Archetype: normal_guard. Ratings: OVR 72, DIQ 59"
467,Dejounte Murray,ATL,G,77,46,58,,60,23.23,-0.3029,-1.4533,1.1504,-2.56,-2.77,2.2598,2.4658,3.9191,1.421,0.232,8.73,6.097,normal_guard,band_1,"PM100 lower by -12.7, OnOff lower by -7.6. Archetype: normal_guard. Ratings: OVR 58, DIQ 75"
468,Jamal Murray,DEN,G,76,38,65,Dp;Ps,59,30.93,4.3867,3.0693,1.3173,-3.89,-0.72,8.2758,5.1095,2.0402,1.539,0.572,6.53,7.694,normal_guard,band_1,"PM100 lower by -14.0, OnOff lower by -5.5. Archetype: normal_guard. Ratings: OVR 65, DIQ 53"
472,Larry Nance Jr.,CHI,FC,80,61,57,Di;R,77,21.10,-2.3663,-3.0513,0.6850,-2.56,0.28,0.1949,-2.6452,0.4061,1.573,0.532,9.26,1.462,defensive_profile,band_2,"PM100 lower by -12.7, OnOff lower by -4.5. Archetype: defensive_profile. Ratings: OVR 57, DIQ 80"
482,Frank Ntilikina,OKC,G,76,37,60,Ps,77,23.77,2.3744,0.8852,1.4892,-2.50,-4.46,4.8760,6.8375,5.9523,1.731,0.413,4.68,9.145,normal_guard,band_2,"PM100 lower by -12.6, OnOff lower by -9.3. Archetype: normal_guard. Ratings: OVR 60, DIQ 60"
517,London Perrantes,DAL,PG,74,43,61,,81,26.47,0.7332,-0.0621,0.7953,0.29,1.88,0.4454,-1.1481,-1.0860,0.957,0.403,5.34,6.112,small_guard,band_2,"PM100 lower by -9.9, OnOff lower by -2.9. Archetype: small_guard. Ratings: OVR 61, DIQ 54"
527,Jakob Poeltl,UTA,C,84,78,64,Di;Po;R,76,25.16,1.2634,0.5847,0.6787,9.83,6.05,-8.5712,-4.7873,-5.3720,1.148,2.485,9.56,1.562,defensive_profile,band_2,"PM100 lower by -0.3, OnOff higher by +1.3. Archetype: defensive_profile. Ratings: OVR 64, DIQ 63"
578,Dennis Schröder,ATL,G,73,28,56,Ps,82,20.28,1.2369,0.5294,0.7076,-0.83,-0.10,2.0673,1.3342,0.8048,1.104,0.130,4.42,8.681,small_guard,band_2,"PM100 lower by -11.0, OnOff lower by -4.9. Archetype: small_guard. Ratings: OVR 56, DIQ 50"
591,Kobi Simmons,MEM,G,77,40,58,,76,19.90,1.4515,0.7375,0.7140,7.95,6.32,-6.5007,-4.8700,-5.6075,1.452,0.405,4.59,5.712,normal_guard,band_2,"PM100 lower by -2.2, OnOff higher by +1.5. Archetype: normal_guard. Ratings: OVR 58, DIQ 53"
594,Dennis Smith Jr.,PHO,PG,74,33,59,Ps,34,19.41,1.3097,0.0117,1.2980,5.57,3.26,-4.2614,-1.9458,-1.9575,1.527,0.055,4.53,8.892,small_guard,band_1,"PM100 lower by -4.6, OnOff lower by -1.5. Archetype: small_guard. Ratings: OVR 59, DIQ 56"
719,Cole Anthony,ORL,PG,74,33,61,,54,30.11,2.7873,1.8218,0.9656,-10.35,-1.07,13.1420,3.8566,2.0349,1.793,0.199,5.49,3.985,small_guard,band_1,"PM100 lower by -20.5, OnOff lower by -5.9. Archetype: small_guard. Ratings: OVR 61, DIQ 59"
732,LaMelo Ball,BOS,PG,79,52,68,3;Ps;R;V,74,34.52,6.0960,5.1368,0.9592,1.23,1.03,4.8658,5.0703,-0.0664,1.043,0.493,10.91,7.258,normal_guard,band_1,"PM100 lower by -8.9, OnOff lower by -3.8. Archetype: normal_guard. Ratings: OVR 68, DIQ 56"
736,Dalano Banton,TOR,PG,81,57,68,Di;Po;R;V,50,30.73,4.8792,4.1753,0.7040,3.21,2.70,1.6645,2.1786,-1.9966,1.617,2.039,10.17,3.726,normal_guard,band_2,"PM100 lower by -6.9, OnOff lower by -2.1. Archetype: normal_guard. Ratings: OVR 68, DIQ 63"
739,Scottie Barnes,UTA,F,79,50,74,A;Di;Dp;Po;Ps;R;V,63,32.77,8.3706,6.9624,1.4082,10.83,8.63,-2.4582,-0.2592,-7.2216,2.162,1.133,11.23,4.795,playmaking_big_or_wing,band_1,"PM100 higher by +0.7, OnOff higher by +3.8. Archetype: playmaking_big_or_wing. Ratings: OVR 74, DIQ 72"
772,Jordan Bone,ORL,PG,74,35,62,B;Ps,56,29.98,1.9655,1.2066,0.7589,-8.43,2.25,10.3945,-0.2890,-1.4956,1.544,0.214,4.31,7.376,small_guard,band_2,"PM100 lower by -18.6, OnOff lower by -2.5. Archetype: small_guard. Ratings: OVR 62, DIQ 55"
774,Brandon Boston Jr.,BOS,GF,79,44,66,Dp;V,76,33.37,0.8167,0.0699,0.7468,0.09,-2.16,0.7229,2.9778,2.9078,2.228,1.121,4.78,0.937,playmaking_big_or_wing,band_2,"PM100 lower by -10.1, OnOff lower by -6.9. Archetype: playmaking_big_or_wing. Ratings: OVR 66, DIQ 67"
786,Miles Bridges,MIN,F,79,50,67,A;Di;Dp,69,33.56,2.1598,0.9052,1.2546,-5.96,0.44,8.1231,1.7242,0.8190,1.850,0.777,7.00,4.011,playmaking_big_or_wing,band_1,"PM100 lower by -16.1, OnOff lower by -4.4. Archetype: playmaking_big_or_wing. Ratings: OVR 67, DIQ 61"
834,Justin Champagnie,LAC,SF,78,44,77,3;A;Di;Dp;Po;R;V,62,35.86,6.2545,5.2917,0.9628,7.92,7.06,-1.6618,-0.8055,-6.0973,1.975,1.133,10.49,4.064,playmaking_big_or_wing,band_1,"PM100 lower by -2.2, OnOff higher by +2.3. Archetype: playmaking_big_or_wing. Ratings: OVR 77, DIQ 82"
842,Josh Christopher,BKN,SG,77,34,63,,68,28.36,0.0566,-0.7618,0.8185,4.63,-0.97,-4.5738,1.0287,1.7905,1.419,0.243,4.85,3.584,normal_guard,band_2,"PM100 lower by -5.5, OnOff lower by -5.8. Archetype: normal_guard. Ratings: OVR 63, DIQ 59"
877,Dyson Daniels,NYK,G,80,49,65,Dp,74,31.12,2.7732,1.7938,0.9794,-3.58,-0.10,6.3522,2.8745,1.0807,2.032,0.922,8.33,5.018,normal_guard,band_1,"PM100 lower by -13.7, OnOff lower by -4.9. Archetype: normal_guard. Ratings: OVR 65, DIQ 68"
927,Simisola Shittu,DET,PF,82,58,58,Di,82,18.12,-1.7455,-2.8475,1.1020,-1.93,-8.15,0.1826,6.4001,9.2476,2.278,0.945,6.47,1.090,defensive_profile,band_1,"PM100 lower by -12.1, OnOff lower by -12.9. Archetype: defensive_profile. Ratings: OVR 58, DIQ 71"
1247,Josh Giddey,SA,GF,80,52,72,3;Di;Ps;R;V,65,37.22,7.0872,6.0564,1.0308,-0.18,7.78,7.2651,-0.6962,-6.7526,1.503,0.684,11.41,7.202,playmaking_big_or_wing,band_1,"PM100 lower by -10.3, OnOff higher by +3.0. Archetype: playmaking_big_or_wing. Ratings: OVR 72, DIQ 66"
1250,Shai Gilgeous-Alexander,OKC,G,78,41,60,Dp,73,27.14,1.4199,-0.1260,1.5459,0.39,0.99,1.0348,0.4278,0.5538,1.853,0.618,5.00,6.104,normal_guard,band_2,"PM100 lower by -9.8, OnOff lower by -3.8. Archetype: normal_guard. Ratings: OVR 60, DIQ 55"
1266,Jalen Green,OKC,SG,76,45,72,A;Dp;Po;V,70,37.17,10.3945,8.9177,1.4768,3.19,9.68,7.2046,0.7114,-8.2063,1.148,1.093,7.28,4.608,normal_guard,band_2,"PM100 lower by -7.0, OnOff higher by +4.9. Archetype: normal_guard. Ratings: OVR 72, DIQ 51"
1283,R.J. Hampton,POR,G,76,40,59,,82,20.49,2.9562,1.9807,0.9754,-2.16,-0.10,5.1133,3.0566,1.0759,1.307,0.364,4.48,8.356,normal_guard,band_1,"PM100 lower by -12.3, OnOff lower by -4.9. Archetype: normal_guard. Ratings: OVR 59, DIQ 50"
1376,Kai Jones,MIA,C,83,61,69,A;Di;Dp;Po;V,73,31.26,4.2465,2.6029,1.6436,10.57,15.05,-6.3261,-10.8076,-13.4104,1.546,2.208,6.91,2.634,playmaking_big_or_wing,band_2,"PM100 higher by +0.4, OnOff higher by +10.3. Archetype: playmaking_big_or_wing. Ratings: OVR 69, DIQ 53"
1381,Nikola Jović,MIA,PF,82,60,61,3,82,21.90,2.4430,1.3729,1.0700,3.57,-1.20,-1.1280,3.6426,2.2697,1.083,0.441,6.10,3.669,playmaking_big_or_wing,band_1,"PM100 lower by -6.6, OnOff lower by -6.0. Archetype: playmaking_big_or_wing. Ratings: OVR 61, DIQ 52"
1429,Dereck Lively II,MIA,C,85,70,62,Di;R,79,25.58,0.0081,-0.9843,0.9924,2.68,-3.17,-2.6715,3.1747,4.1590,0.944,2.085,9.39,1.247,defensive_profile,band_1,"PM100 lower by -7.5, OnOff lower by -8.0. Archetype: defensive_profile. Ratings: OVR 62, DIQ 50"
1444,Théo Maledon,BKN,PG,76,40,61,Ps,80,30.93,3.6711,2.2248,1.4463,4.49,-1.70,-0.8206,5.3757,3.1510,0.888,0.175,3.56,10.563,normal_guard,band_2,"PM100 lower by -5.7, OnOff lower by -6.5. Archetype: normal_guard. Ratings: OVR 61, DIQ 55"
