pid,name,team,pos,height_in,ratings_hgt,ovr,diq,skills,gp,mpg,bpm,obpm,dbpm,pm100,onOff100,impact_gap_pm100,impact_gap_onoff,dbpm_vs_onoff_gap,stl_per36,blk_per36,trb_per36,ast_per36,usage,is_suspicious_defense
33,Lonzo Ball,LAL,PG,78,47,77,80,3;A;B;Di;Dp;Ps;R;V,21,35.99,13.7722,8.2635,5.5087,9.85,12.14,3.9205,1.6308,-6.6327,2.620,0.953,10.15,11.051,26.54,NO
589,Ben Simmons,PHI,PG,82,64,69,70,A;Di;Dp;Po;Ps;R,71,31.21,8.4407,3.7285,4.7122,6.98,0.06,1.4652,8.3777,4.6492,2.080,1.868,8.14,6.288,18.19,NO
1824,Zion Williamson,DAL,PF,78,48,81,81,A;B;Di;Dp;Po;Ps;R;V,72,36.77,13.2449,8.9823,4.2625,4.21,14.44,9.0312,-1.1935,-10.1758,2.529,2.475,12.58,7.180,34.04,NO
904,Luka Dončić,NOL,G,78,48,74,67,A;Di;Dp;Po;Ps;R;V,78,36.82,10.4112,6.2975,4.1137,1.38,5.49,9.0358,4.9221,-1.3754,1.918,0.614,10.91,9.000,23.40,NO
727,Marvin Bagley III,MIL,FC,82,64,76,62,A;Di;Dp;Po;Ps;R;V,62,37.34,11.5923,7.9235,3.6687,2.16,6.27,9.4371,5.3237,-2.5998,1.882,0.747,13.78,8.414,29.76,NO
803,Troy Brown Jr.,WAS,SF,78,44,75,77,3;Di;Po;Ps;R;V,72,37.22,10.2355,6.9944,3.2410,0.23,5.96,10.0038,4.2737,-2.7208,1.585,0.363,9.82,8.612,25.98,NO
333,Nikola Jokić,MIA,C,83,66,67,70,Di;Po;Ps;R,76,31.22,8.2424,5.2201,3.0224,5.00,1.95,3.2383,6.2876,1.0675,1.138,0.668,12.12,10.590,21.21,NO
1604,Joshua Primo,DET,GF,78,37,75,70,3;Dp;Ps;V,51,37.74,9.3216,6.5296,2.7920,6.80,7.05,2.5251,2.2678,-4.2618,1.964,0.468,5.57,5.574,23.67,NO
51,Jordan Bell,LAL,C,80,71,65,66,Di;R,71,29.98,3.1327,0.4445,2.6883,4.99,10.72,-1.8572,-7.5877,-8.0322,1.268,2.418,10.72,5.242,16.02,NO
236,Draymond Green,GSW,F,78,60,61,60,Di;Ps,59,29.74,4.6825,2.0303,2.6522,-0.63,0.63,5.3149,4.0572,2.0269,1.272,1.641,8.27,8.105,14.96,NO
1322,Kevin Huerter,PHO,GF,79,48,63,52,3,62,29.68,4.1561,1.8859,2.2702,8.14,8.25,-3.9840,-4.0970,-5.9828,1.487,1.037,4.50,4.852,15.31,YES
722,Deni Avdija,PHO,SF,81,56,65,56,3;Ps;R;V,56,29.92,7.1554,4.8875,2.2679,2.67,-1.86,4.4872,9.0110,4.1234,1.246,0.731,7.95,6.597,23.66,NO
1620,Cam Reddish,LAL,SF,80,55,69,75,Di;Dp,67,34.82,3.7411,1.5897,2.1513,-0.35,-0.90,4.0866,4.6384,3.0487,2.453,1.543,8.33,3.641,19.17,NO
312,LeBron James,CLE,GF,81,63,57,57,Ps;R,76,28.67,1.5522,-0.3577,1.9099,-1.67,-2.09,3.2188,3.6446,4.0023,1.239,0.264,8.06,6.262,19.69,NO
116,Marquese Chriss,MIL,PF,81,64,61,67,Di;R,67,29.00,1.1877,-0.6885,1.8761,1.90,4.62,-0.7082,-3.4303,-2.7419,1.834,0.889,7.26,3.002,18.90,NO
