pid,name,tid,abbrev,pos,age,height_in,height_cm,ratings_hgt,ovr,pot,valueNoPot,skills,gp,mp,mpg,per,obpm,dbpm,pm100,onOff,diq,spd,hgt,stre,jmp,reb,drb,pss,tp,stl_per36,blk_per36,trb_per36,category,why_flagged
146,Stephen Curry,2,GSW,PG,37,74,188,37,61,61,57.63,"3,Ps,V",73,2243.6,30.73,18.05,3.32,-0.15,-0.06,2.12,53,42,37,62,29,66,343,78,73,0.578,0.193,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-0.147611872890419) for weak ratings
189,Jawun Evans,13,PHO,PG,29,72,182.9,30,57,57,53.34,Ps,24,499.6,20.82,12.58,-0.70,0.85,-3.04,-10.64,57,57,30,53,56,49,37,65,45,1.225,0.360,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (57), No Dp, but positive DBPM (0.8523158701895879)"
200,Yogi Ferrell,6,PHI,G,32,72,182.9,29,61,61,56.59,"3,Ps",62,1313.2,21.18,16.44,2.29,1.16,10.14,4.79,54,52,29,70,49,53,106,65,69,1.069,0.247,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (54), No Dp, but positive DBPM (1.16203891803276)"
202,Bryn Forbes,7,ATL,SG,32,74,188,29,54,54,50.69,3,57,311.9,5.47,10.33,-2.16,-1.66,-3.36,-2.81,45,56,29,59,52,44,21,47,64,1.039,0.000,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.6589556794619327) for weak ratings
379,Damian Lillard,16,POR,PG,35,74,188,35,57,57,55.06,Ps,79,1479.7,18.73,18.84,3.40,0.59,2.80,7.81,42,53,35,65,43,52,160,68,43,0.876,0.097,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (42), No Dp, but positive DBPM (0.591284420888746)"
517,London Perrantes,22,DAL,PG,31,74,188,43,61,61,56.25,,81,2144.0,26.47,13.54,-0.06,0.80,0.29,1.88,54,59,43,66,56,58,244,57,52,0.957,0.403,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (54), No Dp, but positive DBPM (0.7953341920362265)"
567,Terry Rozier,0,BOS,G,31,73,185.4,34,67,67,61.78,"3,Ps",78,2633.8,33.77,17.61,2.54,1.89,2.96,6.29,68,56,34,68,59,71,406,65,70,1.654,0.287,NaN,credible_positive_dbpm_small_guard,"Credible defense ratings: DIQ (68), Dp present? false"
578,Dennis Schröder,7,ATL,G,32,73,185.4,28,56,56,53.65,Ps,82,1662.9,20.28,16.31,0.53,0.71,-0.83,-0.10,50,47,28,63,44,54,168,67,34,1.104,0.130,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (50), No Dp, but positive DBPM (0.7075710410601266)"
594,Dennis Smith Jr.,24,MIA,PG,28,74,188,33,59,59,54.54,Ps,34,659.9,19.41,14.49,0.01,1.30,5.57,3.26,56,56,33,63,56,57,67,66,45,1.527,0.055,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (56), No Dp, but positive DBPM (1.2979859956318602)"
634,Tyler Ulis,28,MEM,PG,29,70,177.8,20,57,57,54.30,Ps,82,1655.9,20.19,15.13,2.32,0.54,4.06,0.05,54,59,20,57,60,48,140,74,50,1.435,0.304,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (54), No Dp, but positive DBPM (0.5431009627667729)"
639,Fred VanVleet,27,TOR,G,31,72,182.9,32,62,62,58.11,"3,Ps",69,1654.4,23.98,17.96,3.35,0.31,1.45,-0.19,58,60,32,57,60,52,169,66,67,1.066,0.239,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (58), No Dp, but positive DBPM (0.3109394066062787)"
646,Kemba Walker,29,CHA,PG,35,72,182.9,27,57,57,54.24,Ps,63,1232.4,19.56,14.32,0.42,-0.48,-1.21,-6.12,45,63,27,63,48,49,89,65,50,1.168,0.058,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-0.48130624426272384) for weak ratings
651,Derrick Walton,8,WAS,PG,30,72,182.9,37,58,58,53.24,,66,1799.5,27.27,11.78,-1.63,-0.75,1.43,5.74,49,63,37,61,59,54,181,60,59,1.160,0.180,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-0.7450444557002993) for weak ratings
716,Jose Alvarado,5,DET,PG,27,72,182.9,22,53,56,50.05,,80,912.0,11.40,10.96,-1.46,-1.70,4.97,2.35,52,70,22,46,42,41,37,57,59,1.066,0.197,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.7011469609501182) for weak ratings
719,Cole Anthony,25,ORL,PG,25,74,188,33,61,64,57.82,,54,1626.1,30.11,17.32,1.82,0.97,-10.35,-1.07,59,62,33,54,61,67,193,47,58,1.793,0.199,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (59), No Dp, but positive DBPM (0.9655798036108907)"
751,Reece Beekman,7,ATL,PG,24,73,185.4,34,46,55,43.79,,20,107.3,5.36,3.93,-8.18,-3.20,-6.66,-6.05,50,67,34,29,44,41,7,56,40,1.342,0.000,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-3.1977357465113467) for weak ratings
778,Ky Bowman,26,MIN,PG,28,73,185.4,26,58,58,54.12,Ps,71,2342.7,33.00,13.55,0.16,-0.10,-5.45,1.69,54,67,26,47,55,51,164,65,47,1.291,0.338,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-0.09707168021490098) for weak ratings
812,Jared Butler,23,NOL,G,25,75,190.5,30,66,69,60.76,"3,B,Ps,V",57,1825.8,32.03,16.60,2.08,0.65,1.07,2.24,64,68,30,45,69,45,128,64,74,2.090,0.177,NaN,credible_positive_dbpm_small_guard,"Credible defense ratings: DIQ (64), Dp present? false"
825,Devin Carter,24,MIA,PG,23,74,188,36,51,59,48.01,,47,390.3,8.30,5.98,-4.52,-1.32,3.29,-1.04,47,66,36,37,61,67,43,47,55,1.015,0.277,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.3153069253504066) for weak ratings
