pid,name,tid,abbrev,pos,age,height_in,height_cm,ratings_hgt,ovr,pot,valueNoPot,skills,gp,mp,mpg,per,obpm,dbpm,pm100,onOff,diq,spd,hgt,stre,jmp,reb,drb,pss,tp,stl_per36,blk_per36,trb_per36,category,why_flagged
146,Stephen Curry,2,GSW,PG,37,74,188,37,61,61,57.63,"3,Ps,V",73,2243.6,30.73,18.05,3.32,-0.15,-0.06,2.12,53,42,37,62,29,66,343,78,73,0.578,0.193,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-0.147611872890419) for weak ratings
200,Yogi Ferrell,6,PHI,G,32,72,182.9,29,61,61,56.59,"3,Ps",62,1313.2,21.18,16.44,2.29,1.16,10.14,4.79,54,52,29,70,49,53,106,65,69,1.069,0.247,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (54), No Dp, but positive DBPM (1.16203891803276)"
567,Terry Rozier,0,BOS,G,31,73,185.4,34,67,67,61.78,"3,Ps",78,2633.8,33.77,17.61,2.54,1.89,2.96,6.29,68,56,34,68,59,71,406,65,70,1.654,0.287,NaN,credible_positive_dbpm_small_guard,"Credible defense ratings: DIQ (68), Dp present? false"
594,Dennis Smith Jr.,24,MIA,PG,28,74,188,33,59,59,54.54,Ps,34,659.9,19.41,14.49,0.01,1.30,5.57,3.26,56,56,33,63,56,57,67,66,45,1.527,0.055,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (56), No Dp, but positive DBPM (1.2979859956318602)"
646,Kemba Walker,29,CHA,PG,35,72,182.9,27,57,57,54.24,Ps,63,1232.4,19.56,14.32,0.42,-0.48,-1.21,-6.12,45,63,27,63,48,49,89,65,50,1.168,0.058,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-0.48130624426272384) for weak ratings
719,Cole Anthony,25,ORL,PG,25,74,188,33,61,64,57.82,,54,1626.1,30.11,17.32,1.82,0.97,-10.35,-1.07,59,62,33,54,61,67,193,47,58,1.793,0.199,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (59), No Dp, but positive DBPM (0.9655798036108907)"
812,Jared Butler,23,NOL,G,25,75,190.5,30,66,69,60.76,"3,B,Ps,V",57,1825.8,32.03,16.60,2.08,0.65,1.07,2.24,64,68,30,45,69,45,128,64,74,2.090,0.177,NaN,credible_positive_dbpm_small_guard,"Credible defense ratings: DIQ (64), Dp present? false"
1239,Darius Garland,15,CLE,G,25,73,185.4,33,58,61,54.18,3,46,1385.3,30.11,11.84,-1.15,-1.03,-3.03,-3.54,53,55,33,42,50,50,112,48,60,0.832,0.182,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.0289866064893385) for weak ratings
1422,Saben Lee,6,PHI,PG,26,74,188,30,74,77,68.38,"3,B,Dp,Ps,V",61,2266.8,37.16,22.87,6.31,2.44,9.01,4.85,71,69,30,58,59,66,227,73,75,2.017,0.191,NaN,credible_positive_dbpm_small_guard,"Credible defense ratings: DIQ (71), Dp present? true"
1472,Miles McBride,1,NYK,PG,25,74,188,26,58,61,53.93,3,79,1756.8,22.24,13.55,-0.13,-1.44,-8.67,-9.21,55,65,26,44,45,48,117,60,69,1.311,0.225,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.444959359429629) for weak ratings
1519,Ja Morant,3,SAC,PG,26,74,188,33,69,72,65.04,"B,Ps,V",69,2433.9,35.27,23.61,5.81,1.62,-2.67,-4.29,43,72,33,57,80,81,416,76,43,0.991,0.311,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (43), No Dp, but positive DBPM (1.619159773968856)"
1840,Trae Young,15,CLE,PG,27,73,185.4,31,73,75,68.06,"A,B,Dp,Po,Ps,V",78,3015.6,38.66,24.18,6.57,2.38,1.80,10.67,56,73,31,85,68,69,508,96,54,1.289,0.322,NaN,credible_positive_dbpm_small_guard,"Credible defense ratings: DIQ (56), Dp present? true"
