name,pid,group,phi_roster_size,bkn_roster_size,target_mpg,ovr_change,skills_change,orig_win_pct,disc_win_pct,win_pct_delta,orig_avg_margin,disc_avg_margin,avg_margin_delta,pts_against_delta,stl_per36_delta,blk_per36_delta,trb_per36_delta
Yogi Ferrell,200,suspicious,16,17,27.95,61 -> 58,"[3,Ps] -> [3,Ps]",0.397,0.407,0.010,-3.44,-2.73,0.71,-0.35,-0.592,0.007,-0.26
Ja Morant,1519,suspicious,17,17,35.89,69 -> 66,"[B,Ps,V] -> [B,Ps,V]",0.540,0.563,0.023,1.71,1.49,-0.22,0.19,-0.648,-0.022,-0.04
Dennis Smith Jr.,594,suspicious,17,17,25.68,59 -> 55,[Ps] -> [Ps],0.387,0.420,0.033,-3.37,-2.01,1.36,-0.66,-0.897,-0.010,-0.07
Cole Anthony,719,suspicious,17,17,28.38,61 -> 57,[] -> [],0.477,0.497,0.020,-1.27,-0.84,0.43,0.20,-0.820,0.018,-0.11
Saben Lee,1422,credible,17,17,37.46,74 -> 68,"[3,B,Dp,Ps,V] -> [3,B,Ps,V]",0.590,0.577,-0.013,3.15,2.99,-0.16,0.28,-1.239,-0.008,-0.15
Terry Rozier,567,credible,17,17,31.45,67 -> 62,"[3,Ps] -> [3,Ps]",0.507,0.487,-0.020,0.99,0.45,-0.54,1.57,-1.028,-0.001,-0.35
Trae Young,1840,credible,17,17,36.18,73 -> 70,"[A,B,Dp,Po,Ps,V] -> [A,B,Dp,Po,Ps,V]",0.607,0.633,0.027,3.42,4.36,0.94,0.27,-0.713,-0.063,-0.06
Jared Butler,812,credible,17,17,30.87,66 -> 61,"[3,B,Ps,V] -> [3,B,Ps,V]",0.497,0.477,-0.020,1.51,-1.15,-2.66,0.95,-0.965,-0.015,-0.13
Stephen Curry,146,negative,17,17,27.05,61 -> 58,"[3,Ps,V] -> [3,Ps,V]",0.457,0.400,-0.057,-0.83,-3.21,-2.38,1.57,-0.431,-0.057,-0.32
Darius Garland,1239,negative,17,17,25.23,58 -> 55,[3] -> [3],0.440,0.357,-0.083,-1.44,-4.02,-2.57,1.31,-0.460,0.023,-0.17
Kemba Walker,646,negative,17,17,20.55,57 -> 54,[Ps] -> [Ps],0.453,0.407,-0.047,-1.68,-2.75,-1.06,0.66,-0.413,-0.009,-0.07
Miles McBride,1472,negative,17,17,20.32,58 -> 55,[3] -> [3],0.407,0.430,0.023,-2.20,-1.43,0.77,-1.32,-0.730,-0.017,0.14
