pid,name,tid,team,pos,age,hgt_display_in,hgt_display_cm,hgt_rating,ovr,pot,valueNoPot,skills,contract_amount,ptModifier,usageBias,season,stre,spd,jmp,endu,ins,dnk,ft,fg,tp,oiq,diq,drb,pss,reb,gp,mpg,per,usgp,obpm,dbpm,pm100,onOff100
1,Álex Abrines,-1,FA,SG,32,78,198.1,44,52,52,48.387781377985306,3,3710,1,1,2025,54,52,46,44,26,49,66,57,75,47,45,48,38,39,0,0,0,0,0,0,0,0
30,Dwayne Bacon,22,DAL,SG,30,78,198.1,44,52,52,48.84695955648057,,3030,1,1,2025,57,46,42,40,36,51,53,51,48,54,51,56,47,59,57,4.98,11.095455056014304,16.954988359011857,-2.459185343295535,-0.6251089952091853,-7.6881445575646055,-7.662326828549698
33,Lonzo Ball,4,LAL,PG,28,78,198.1,47,75,76,70.0260436780864,"3,B,Di,Dp,Ps,R,V",23520,1,1,2025,70,56,62,55,53,62,46,63,81,62,80,83,89,74,21,35.99,27.82434885904722,26.540717467811792,8.263548669489415,5.508681232998493,9.851704873542202,12.141415885608456
45,Bradley Beal,21,IND,SG,32,76,193,38,66,66,61.08802869264568,"Ps,V",29740,1,1,2025,76,62,64,71,65,69,55,66,50,64,54,67,68,58,75,34.62,17.73746657608825,25.184023259980297,1.4787809016392846,-0.34935828196797125,0.0733007619977,3.0270939627888573
46,Malik Beasley,27,TOR,SG,29,76,193,39,62,62,57.29832674574834,3,18550,1,1,2025,66,64,65,42,46,57,60,59,65,60,55,62,55,56,80,22.17,14.307076454978468,19.530697259732868,0.1779100039458914,-0.9845176108798919,-0.9734282459837792,-4.589772853281032
64,Antonio Blakeney,23,NOL,SG,29,76,193,38,44,44,42.196797319334394,,1390,1,1,2025,51,49,46,37,46,55,53,48,49,46,40,54,41,48,40,6.82,6.77497163699941,16.060411212654778,-4.527013858235528,-2.587725988856751,-6.451978492114974,-6.773716736089723
65,Eric Bledsoe,-1,FA,G,36,73,185.4,41,55,55,51.58560344217996,,3960,1,1,2025,55,41,38,44,54,52,50,50,46,47,65,68,66,45,24,10.44,9.60440577715705,15.263871447378595,-3.1727426554800924,0.7587605273606957,10.248154166200313,6.953797450283891
67,Bogdan Bogdanović,-1,FA,SG,33,77,195.6,44,48,48,45.58681205541835,,3710,1,1,2025,52,38,44,49,34,35,54,52,52,47,48,57,56,40,58,6.56,6.417819193817797,12.67228391568863,-5.023077073359354,-1.7137186622487866,-7.732969045212155,-4.641452771919639
71,Devin Booker,13,PHO,G,29,78,198.1,40,63,63,59.81799614056683,"Ps,V",24770,1,1,2025,67,55,54,57,78,66,66,61,50,65,53,70,70,54,49,29.1,19.83720874740426,22.80491066410083,3.8961895630709487,1.8212253848749125,7.837247107106103,6.421962346548424
100,Kentavious Caldwell-Pope,10,OKC,SG,32,77,195.6,40,63,63,57.799589187910684,3,14130,1,1,2025,67,56,53,57,43,57,55,55,69,60,62,58,55,57,63,28.82,13.453593015490831,19.110765333185817,-1.0540545464771203,0.09117777560086893,-3.756598107479546,-6.756834321277812
