version,scenario,rosterIndex,playerName,pos,ovr,valueNoPot,targetMinutes,avgMinutes,medianMinutes,stdMinutes,p10Minutes,p90Minutes,avgMinusTarget,hitRateAbs2,notes
A_conservative,1_no_target_baseline,0,"FirstName LastName",PG,76,62.54,N/A,35.76,36.37,3.06,31.68,38.73,N/A,N/A,""
A_conservative,1_no_target_baseline,1,"FirstName LastName",SG,73,59.3,N/A,35.85,36.25,2.55,32.85,38.5,N/A,N/A,""
A_conservative,1_no_target_baseline,2,"FirstName LastName",SF,70,56.07,N/A,34.57,35.01,2.77,30.91,37.46,N/A,N/A,""
A_conservative,1_no_target_baseline,3,"FirstName LastName",PF,66,51.75,N/A,33.1,33.65,2.68,29.82,35.75,N/A,N/A,""
A_conservative,1_no_target_baseline,4,"FirstName LastName",C,63,48.51,N/A,30.66,31.03,2.31,27.78,33.36,N/A,N/A,""
A_conservative,1_no_target_baseline,5,"FirstName LastName",G,60,45.27,N/A,25.12,25.11,2.68,21.9,28.82,N/A,N/A,""
A_conservative,1_no_target_baseline,6,"FirstName LastName",F,57,42.04,N/A,21.09,21.24,2.38,17.94,24.09,N/A,N/A,""
A_conservative,1_no_target_baseline,7,"FirstName LastName",FC,54,38.8,N/A,15.12,15.17,3.3,11.09,19.23,N/A,N/A,""
A_conservative,1_no_target_baseline,8,"FirstName LastName",GF,50,34.48,N/A,7.96,7.57,3.96,3.16,13.72,N/A,N/A,""
A_conservative,1_no_target_baseline,9,"FirstName LastName",C,47,31.24,N/A,1.63,0.17,2.42,0,5.81,N/A,N/A,""
A_conservative,2_sub_6th_target_26,0,"FirstName LastName",PG,76,62.54,N/A,36.19,36.71,3.18,32.63,38.88,N/A,N/A,""
A_conservative,2_sub_6th_target_26,1,"FirstName LastName",SG,73,59.3,N/A,36.37,36.86,2.39,33.36,38.84,N/A,N/A,""
A_conservative,2_sub_6th_target_26,2,"FirstName LastName",SF,70,56.07,N/A,34.77,35.03,2.41,31.72,37.33,N/A,N/A,""
A_conservative,2_sub_6th_target_26,3,"FirstName LastName",PF,66,51.75,N/A,32.89,32.93,2.52,29.9,35.57,N/A,N/A,""
A_conservative,2_sub_6th_target_26,4,"FirstName LastName",C,63,48.51,N/A,30.88,31.16,2.52,27.86,33.43,N/A,N/A,""
A_conservative,2_sub_6th_target_26,5,"FirstName LastName",G,60,45.27,26,28.08,28.11,2.36,25.63,31.07,2.08,43,""
A_conservative,2_sub_6th_target_26,6,"FirstName LastName",F,57,42.04,N/A,20.58,20.51,2.71,17.06,23.59,N/A,N/A,""
A_conservative,2_sub_6th_target_26,7,"FirstName LastName",FC,54,38.8,N/A,14.79,14.47,3.47,10.38,19.4,N/A,N/A,""
A_conservative,2_sub_6th_target_26,8,"FirstName LastName",GF,50,34.48,N/A,6.02,5.54,3.65,1.81,11.23,N/A,N/A,""
A_conservative,2_sub_6th_target_26,9,"FirstName LastName",C,47,31.24,N/A,1.31,0,2.07,0,4.76,N/A,N/A,""
A_conservative,3_starter_target_26,0,"FirstName LastName",PG,76,62.54,26,32.64,33,2.55,29.82,35.44,6.64,3,"LARGE_DEVIATION (>4m off)"
A_conservative,3_starter_target_26,1,"FirstName LastName",SG,73,59.3,N/A,36.38,36.74,2.69,33.13,39.32,N/A,N/A,""
A_conservative,3_starter_target_26,2,"FirstName LastName",SF,70,56.07,N/A,35.16,35.5,2.46,32,37.83,N/A,N/A,""
A_conservative,3_starter_target_26,3,"FirstName LastName",PF,66,51.75,N/A,33.34,33.45,2.36,30.3,36.14,N/A,N/A,""
A_conservative,3_starter_target_26,4,"FirstName LastName",C,63,48.51,N/A,31.06,31.3,2.55,28.44,33.66,N/A,N/A,""
A_conservative,3_starter_target_26,5,"FirstName LastName",G,60,45.27,N/A,25.87,25.73,2.14,23.65,28.52,N/A,N/A,""
A_conservative,3_starter_target_26,6,"FirstName LastName",F,57,42.04,N/A,21.48,21.46,2.44,18.26,24.47,N/A,N/A,""
A_conservative,3_starter_target_26,7,"FirstName LastName",FC,54,38.8,N/A,16.45,16.77,3.08,12.28,20.37,N/A,N/A,""
