caseId,globalCaseId,pid,name,bucket,bucketLabel,challengeTags,age,pos,ovr,pot,value,valueNoPot,contractValue,estimatedDemandNoRandom,currentNoOptionAmount,currentNoOptionYears,currentNoOptionCapPct,eligibleMax,minContractForPlayer,GP,GS,MPG,starterShare,PTS,TRB,AST,STL,BLK,TOV,TS,PER,EWA,VORP,BPM,OBPM,DBPM,On-Off,USG,awardsSummary,selectionRationale,debugModelTier,debugModelRangeText,debugModelReason
A-01,B40-01,12,Al-Farouq Aminu,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,award_old_decline;player_minimum_sensitive,35,F,50,50,42.950311,47.198144,46.688404,3710,5380,1,0.034788,54128,3710,40,0,4.890338,0,1.7,0.8,0.15,0.15,0.025,0.35,0.589051,8.703967,-0.17876,-0.168992,-5.408976,-3.864996,-1.54398,-11.687023,15.384131,2019: Second Team All-Defensive,"A. MINIMUM / FRINGE NEGATIVE boundary sample: demand $3.71M (2.4%) with 4.9 MPG, -0.2 EWA, -5.4 BPM. Challenge tags: award_old_decline, player_minimum_sensitive.",MINIMUM_LEVEL,$3.71M-$4.27M,"falls through to minimum after role, production, age, and archetype checks"
A-02,B40-02,67,Bogdan Bogdanović,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,guard_age_31_plus_length_risk;player_minimum_sensitive,33,SG,48,48,41.939867,45.586812,45.149179,3710,3710,2,0.02399,54128,3710,58,0,6.555189,0,1.448276,0.810345,0.844828,0.12069,0.051724,0.327586,0.440806,6.417819,-0.617731,-0.454093,-6.736796,-5.023077,-1.713719,-4.641453,12.672284,None,"A. MINIMUM / FRINGE NEGATIVE boundary sample: demand $3.71M (2.4%) with 6.6 MPG, -0.6 EWA, -6.7 BPM. Challenge tags: guard_age_31_plus_length_risk, player_minimum_sensitive.",MINIMUM_LEVEL,$3.71M-$4.27M,"falls through to minimum after role, production, age, and archetype checks"
A-03,B40-03,127,Pat Connaughton,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,guard_age_31_plus_length_risk;player_minimum_sensitive,32,GF,50,50,43.36784,47.138956,46.686422,3710,3720,1,0.024054,54128,3710,70,0,7.890528,0,2.671429,0.557143,0.328571,0.157143,0.071429,0.442857,0.51956,6.747936,-0.824837,-0.721836,-7.189608,-4.510219,-2.679389,-5.547421,16.053061,None,"A. MINIMUM / FRINGE NEGATIVE boundary sample: demand $3.71M (2.4%) with 7.9 MPG, -0.8 EWA, -7.2 BPM. Challenge tags: guard_age_31_plus_length_risk, player_minimum_sensitive.",MINIMUM_LEVEL,$3.71M-$4.27M,"falls through to minimum after role, production, age, and archetype checks"
A-04,B40-04,251,Andrew Harrison,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,guard_age_31_plus_length_risk;player_minimum_sensitive,31,PG,48,48,41.695838,45.321563,44.886476,3710,6740,1,0.043582,54128,3710,57,0,7.439993,0,1.859649,1,0.578947,0.157895,0.070175,0.473684,0.477477,6.276684,-0.797239,-0.530509,-6.961327,-5.20266,-1.758667,-8.666581,13.652754,2024: Won Championship; 2023: Won Championship,"A. MINIMUM / FRINGE NEGATIVE boundary sample: demand $3.71M (2.4%) with 7.4 MPG, -0.8 EWA, -7 BPM. Challenge tags: guard_age_31_plus_length_risk, player_minimum_sensitive.",MINIMUM_LEVEL,$3.71M-$4.27M,"falls through to minimum after role, production, age, and archetype checks"
B-01,B40-05,649,John Wall,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,specialist_high_skill_low_minutes;guard_age_31_plus_length_risk;award_old_decline;player_minimum_sensitive,35,PG,53,53,46.138899,50.702087,50.154505,6690,8860,1,0.057291,54128,3710,50,2,17.1261,0.04,4.38,1.7,5.16,0.2,0.18,1.16,0.4357,10.970964,-0.009896,-0.126166,-2.585077,-1.663791,-0.921286,-6.495784,15.182432,"2019: All-Star; 2017: All-Star, Third Team All-League; 2016: All-Star; 2015: All-Star, Second Team All-Defensive; 2014: All-Star, Slam Dunk Contest Winner; 2011: All-Rookie Team","B. MINIMUM_PLUS / FUNCTIONAL VET boundary sample: demand $6.69M (4.3%) with 17.1 MPG, 0 EWA, -2.6 BPM. Challenge tags: specialist_high_skill_low_minutes, guard_age_31_plus_length_risk, award_old_decline, player_minimum_sensitive.",MINIMUM_LEVEL,$3.71M-$4.27M,"falls through to minimum after role, production, age, and archetype checks"
B-02,B40-06,39,Will Barton,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,guard_age_31_plus_length_risk;award_old_decline;player_minimum_sensitive,34,GF,55,55,47.273626,51.94904,51.38799,8800,3360,1,0.021726,54128,3710,77,0,13.16548,0,4.012987,2.272727,2.155844,0.350649,0.077922,0.805195,0.518248,11.949446,0.584821,0.22101,-1.141898,-1.341166,0.199268,-3.891833,14.961052,2018: All-Star,"B. MINIMUM_PLUS / FUNCTIONAL VET boundary sample: demand $8.80M (5.7%) with 13.2 MPG, 0.6 EWA, -1.1 BPM. Challenge tags: guard_age_31_plus_length_risk, award_old_decline, player_minimum_sensitive.",MINIMUM_LEVEL,$3.71M-$4.27M,"falls through to minimum after role, production, age, and archetype checks"
B-03,B40-07,241,Blake Griffin,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,high_ewa_low_minutes;award_old_decline;player_minimum_sensitive,36,FC,53,53,47.430697,52.121645,51.558731,9090,27200,1,0.175881,54128,3710,70,0,11.270235,0,5.385714,2.714286,2.928571,0.185714,0.085714,0.885714,0.561814,19.595417,2.683232,1.520161,5.603538,3.291568,2.31197,-0.540512,21.156242,"2022: All-Star; 2021: All-Star; 2020: All-Star; 2019: All-Star; 2018: All-Star; 2015: All-Star, Third Team All-League; 2014: All-Star, Second Team All-League; 2013: All-Star, Second Team All-League; 2012: All-Star, Second Team All-League; 2011: Rookie of the Year, All-Star, All-Rookie Team, Slam Dunk Contest Winner","B. MINIMUM_PLUS / FUNCTIONAL VET boundary sample: demand $9.09M (5.9%) with 11.3 MPG, 2.7 EWA, 5.6 BPM. Challenge tags: high_ewa_low_minutes, award_old_decline, player_minimum_sensitive.",MINIMUM_LEVEL,$3.71M-$4.27M,"falls through to minimum after role, production, age, and archetype checks"
B-04,B40-08,280,Justin Holiday,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,specialist_high_skill_low_minutes;guard_age_31_plus_length_risk;award_old_decline;player_minimum_sensitive,36,GF,55,55,47.214719,51.884307,51.323957,8860,16960,1,0.109667,54128,3710,72,0,17.432444,0,6.513889,2.458333,1.083333,0.611111,0.069444,1,0.543579,10.632876,0.066379,-0.500371,-3.573109,-2.596493,-0.976616,2.796158,16.791336,2015: Won Championship,"B. MINIMUM_PLUS / FUNCTIONAL VET boundary sample: demand $8.86M (5.7%) with 17.4 MPG, 0.1 EWA, -3.6 BPM. Challenge tags: specialist_high_skill_low_minutes, guard_age_31_plus_length_risk, award_old_decline, player_minimum_sensitive.",MINIMUM_LEVEL,$3.71M-$4.27M,"falls through to minimum after role, production, age, and archetype checks"
C-01,B40-09,1245,Keyonte George,low_rotation,C. LOW_ROTATION,young_high_pot_low_current,22,G,54,67,57.650517,50.319296,52.372038,9220,9450,2,0.061106,38663,2350,73,11,15.912788,0.150685,6.876712,2.09589,1.082192,0.246575,0.164384,1.09589,0.575319,11.408204,0.304315,-0.378603,-3.294241,-1.648802,-1.64544,2.99425,18.680049,None,"C. LOW_ROTATION boundary sample: demand $9.22M (6.0%) with 15.9 MPG, 0.3 EWA, -3.3 BPM. Challenge tags: young_high_pot_low_current.",YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,young player with pot/premium upside but not enough starter role or production certainty
C-02,B40-10,1280,Jordan Hall,low_rotation,C. LOW_ROTATION,young_high_pot_low_current,23,SF,55,65,56.543167,51.392263,52.834516,10370,2790,4,0.018041,38663,2430,82,0,13.71513,0,5.304878,2.902439,0.512195,0.597561,0.231707,0.878049,0.51138,10.883223,0.171538,-0.478909,-3.680336,-3.015322,-0.665015,2.406211,18.554689,None,"C. LOW_ROTATION boundary sample: demand $10.37M (6.7%) with 13.7 MPG, 0.2 EWA, -3.7 BPM. Challenge tags: young_high_pot_low_current.",MINIMUM_LEVEL,$2.43M-$2.79M,"falls through to minimum after role, production, age, and archetype checks"
