caseId,globalCaseId,noteCaseId,pid,name,bucket,bucketLabel,humanTargetTier,humanAmountRangeM,humanRangeStatus,humanRangeText,humanAmountMinM,humanAmountMaxM,humanYears,humanNotes,parseNotes,sandboxModelTier,sandboxModelRangeText,sandboxModelRangeMinM,sandboxModelRangeMaxM,sandboxDirection,sandboxOverlap,sandboxGapM,sandboxSignedGapM,sandboxGapCapPct,sandboxSevere,oldDemandProxyM,oldDemandProxyText,oldDemandProxyCapPct,oldDemandVsHuman,oldDemandGapM,oldDemandSignedGapM,currentNoOptionAmount,currentNoOptionYears,currentNoOptionCapPct,age,pos,ovr,pot,value,valueNoPot,contractValue,MPG,starterShare,PER,EWA,VORP,BPM,USG,awardsSummary
A-01,B40-01,B40-01,12,Al-Farouq Aminu,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,,,missing,,,,,,empty humanAmountRangeM,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,3.71,$3.71M,0.02399,missing,,,5380,1,0.034788,35,F,50,50,42.950311,47.198144,46.688404,4.890338,0,8.703967,-0.17876,-0.168992,-5.408976,15.384131,2019: Second Team All-Defensive
A-02,B40-02,B40-02,67,Bogdan Bogdanović,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,,,missing,,,,,,empty humanAmountRangeM,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,3.71,$3.71M,0.02399,missing,,,3710,2,0.02399,33,SG,48,48,41.939867,45.586812,45.149179,6.555189,0,6.417819,-0.617731,-0.454093,-6.736796,12.672284,None
A-03,B40-03,B40-03,127,Pat Connaughton,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,,,missing,,,,,,empty humanAmountRangeM,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,3.71,$3.71M,0.02399,missing,,,3720,1,0.024054,32,GF,50,50,43.36784,47.138956,46.686422,7.890528,0,6.747936,-0.824837,-0.721836,-7.189608,16.053061,None
A-04,B40-04,B40-04,251,Andrew Harrison,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,,,missing,,,,,,empty humanAmountRangeM,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,3.71,$3.71M,0.02399,missing,,,6740,1,0.043582,31,PG,48,48,41.695838,45.321563,44.886476,7.439993,0,6.276684,-0.797239,-0.530509,-6.961327,13.652754,2024: Won Championship; 2023: Won Championship
B-01,B40-05,B40-05,649,John Wall,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,,,missing,,,,,,empty humanAmountRangeM,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,6.69,$6.69M,0.043259,missing,,,8860,1,0.057291,35,PG,53,53,46.138899,50.702087,50.154505,17.1261,0.04,10.970964,-0.009896,-0.126166,-2.585077,15.182432,"2019: All-Star; 2017: All-Star, Third Team All-League; 2016: All-Star; 2015: All-Star, Second Team All-Defensive; 2014: All-Star, Slam Dunk Contest Winner; 2011: All-Rookie Team"
B-02,B40-06,B40-06,39,Will Barton,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,,,missing,,,,,,empty humanAmountRangeM,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,8.8,$8.80M,0.056903,missing,,,3360,1,0.021726,34,GF,55,55,47.273626,51.94904,51.38799,13.16548,0,11.949446,0.584821,0.22101,-1.141898,14.961052,2018: All-Star
B-03,B40-07,B40-07,241,Blake Griffin,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,,,missing,,,,,,empty humanAmountRangeM,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,9.09,$9.09M,0.058778,missing,,,27200,1,0.175881,36,FC,53,53,47.430697,52.121645,51.558731,11.270235,0,19.595417,2.683232,1.520161,5.603538,21.156242,"2022: All-Star; 2021: All-Star; 2020: All-Star; 2019: All-Star; 2018: All-Star; 2015: All-Star, Third Team All-League; 2014: All-Star, Second Team All-League; 2013: All-Star, Second Team All-League; 2012: All-Star, Second Team All-League; 2011: Rookie of the Year, All-Star, All-Rookie Team, Slam Dunk Contest Winner"
B-04,B40-08,B40-08,280,Justin Holiday,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,,,missing,,,,,,empty humanAmountRangeM,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,8.86,$8.86M,0.057291,missing,,,16960,1,0.109667,36,GF,55,55,47.214719,51.884307,51.323957,17.432444,0,10.632876,0.066379,-0.500371,-3.573109,16.791336,2015: Won Championship
C-01,B40-09,B40-09,1245,Keyonte George,low_rotation,C. LOW_ROTATION,,,missing,,,,,,empty humanAmountRangeM,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,3.87,6.96,missing,,,,,,9.22,$9.22M,0.059618,missing,,,9450,2,0.061106,22,G,54,67,57.650517,50.319296,52.372038,15.912788,0.150685,11.408204,0.304315,-0.378603,-3.294241,18.680049,None
C-02,B40-10,B40-10,1280,Jordan Hall,low_rotation,C. LOW_ROTATION,,,missing,,,,,,empty humanAmountRangeM,MINIMUM_LEVEL,$2.43M-$2.79M,2.43,2.79,missing,,,,,,10.37,$10.37M,0.067055,missing,,,2790,4,0.018041,23,SF,55,65,56.543167,51.392263,52.834516,13.71513,0,10.883223,0.171538,-0.478909,-3.680336,18.554689,None
