caseId,globalCaseId,pid,name,bucket,bucketLabel,humanRangeStatus,humanRangeText,humanAmountMinM,humanAmountMaxM,humanAmountMidpointM,humanTargetTier,humanYears,humanNotes,v1Tier,v1RangeText,v1RangeMinM,v1RangeMaxM,v1Direction,v1Overlap,v1GapM,v1SignedGapM,v1GapCapPct,v1Severe,debugTier,debugRangeMinM,debugRangeMaxM,debugRangeText,debugPointEstimateM,debugPointEstimateText,debugYears,tierPlacementScore,debugReason,modelComponents,riskFlags,v2PointDirection,v2PointInside,v2PointGapM,v2PointSignedGapM,v2PointGapCapPct,v2PointSevere,v2AbsGapToHumanMidpointM,v2AbsGapToHumanRangeM,v1v2Change,oldDemandProxyM,oldDemandProxyText,oldDemandSanityGapM,oldDemandSanityFlag,tradeExploitRiskFlag,tradeExploitReason,age,pos,ovr,pot,value,valueNoPot,contractValue,MPG,starterShare,PER,EWA,VORP,BPM,USG
A-01,B40-01,12,Al-Farouq Aminu,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,missing,,,,,,,,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,MINIMUM_LEVEL,3.71,4.27,$3.71M-$4.27M,3.8,$3.80M,1,0.154998,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 15.5% inside the range; no major risk flags,"{""currentImpactComponent"":0.0135,""roleCertaintyComponent"":0.0761,""futureUpsideComponent"":0,""skillPortabilityComponent"":0.4288,""archetypeRiskComponent"":0.34,""ageYearsRiskComponent"":0.75,""productionReliabilityComponent"":0.0746}",,missing,,,,,,,,missing,3.71,$3.71M,-0.09,old_demand_close,none,,35,F,50,50,42.950311,47.198144,46.688404,4.890338,0,8.703967,-0.17876,-0.168992,-5.408976,15.384131
A-02,B40-02,67,Bogdan Bogdanović,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,missing,,,,,,,,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,MINIMUM_LEVEL,3.71,4.27,$3.71M-$4.27M,3.79,$3.79M,1,0.142001,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 14.2% inside the range; flags: offensive_liability_risk,"{""currentImpactComponent"":0.0011,""roleCertaintyComponent"":0.1446,""futureUpsideComponent"":0,""skillPortabilityComponent"":0.1777,""archetypeRiskComponent"":0.34,""ageYearsRiskComponent"":0.6667,""productionReliabilityComponent"":0.1388}",offensive_liability_risk,missing,,,,,,,,missing,3.71,$3.71M,-0.08,old_demand_close,none,,33,SG,48,48,41.939867,45.586812,45.149179,6.555189,0,6.417819,-0.617731,-0.454093,-6.736796,12.672284
A-03,B40-03,127,Pat Connaughton,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,missing,,,,,,,,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,MINIMUM_LEVEL,3.71,4.27,$3.71M-$4.27M,3.81,$3.81M,1,0.178874,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 17.9% inside the range; no major risk flags,"{""currentImpactComponent"":0,""roleCertaintyComponent"":0.1903,""futureUpsideComponent"":0,""skillPortabilityComponent"":0.2682,""archetypeRiskComponent"":0.34,""ageYearsRiskComponent"":0.5,""productionReliabilityComponent"":0.187}",,missing,,,,,,,,missing,3.71,$3.71M,-0.1,old_demand_close,none,,32,GF,50,50,43.36784,47.138956,46.686422,7.890528,0,6.747936,-0.824837,-0.721836,-7.189608,16.053061
A-04,B40-04,251,Andrew Harrison,minimum_fringe_negative,A. MINIMUM / FRINGE NEGATIVE,missing,,,,,,,,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,MINIMUM_LEVEL,3.71,4.27,$3.71M-$4.27M,3.8,$3.80M,1,0.160573,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 16.1% inside the range; flags: offensive_liability_risk,"{""currentImpactComponent"":0,""roleCertaintyComponent"":0.1408,""futureUpsideComponent"":0,""skillPortabilityComponent"":0.1801,""archetypeRiskComponent"":0.34,""ageYearsRiskComponent"":0.3333,""productionReliabilityComponent"":0.133}",offensive_liability_risk,missing,,,,,,,,missing,3.71,$3.71M,-0.09,old_demand_close,none,,31,PG,48,48,41.695838,45.321563,44.886476,7.439993,0,6.276684,-0.797239,-0.530509,-6.961327,13.652754
B-01,B40-05,649,John Wall,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,missing,,,,,,,,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,MINIMUM_LEVEL,3.71,4.27,$3.71M-$4.27M,3.85,$3.85M,1,0.245245,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 24.5% inside the range; no major risk flags,"{""currentImpactComponent"":0.1254,""roleCertaintyComponent"":0.2642,""futureUpsideComponent"":0.0475,""skillPortabilityComponent"":0.3093,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0.75,""productionReliabilityComponent"":0.2509}",,missing,,,,,,,,missing,6.69,$6.69M,2.84,old_demand_close,none,,35,PG,53,53,46.138899,50.702087,50.154505,17.1261,0.04,10.970964,-0.009896,-0.126166,-2.585077,15.182432
B-02,B40-06,39,Will Barton,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,missing,,,,,,,,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,MINIMUM_LEVEL,3.71,4.27,$3.71M-$4.27M,3.87,$3.87M,1,0.290444,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 29.0% inside the range; no major risk flags,"{""currentImpactComponent"":0.1647,""roleCertaintyComponent"":0.3207,""futureUpsideComponent"":0.0573,""skillPortabilityComponent"":0.327,""archetypeRiskComponent"":0.16,""ageYearsRiskComponent"":0.75,""productionReliabilityComponent"":0.3883}",,missing,,,,,,,,missing,8.8,$8.80M,4.93,old_demand_close,none,,34,GF,55,55,47.273626,51.94904,51.38799,13.16548,0,11.949446,0.584821,0.22101,-1.141898,14.961052
B-03,B40-07,241,Blake Griffin,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,missing,,,,,,,,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,MINIMUM_LEVEL,3.71,4.27,$3.71M-$4.27M,3.94,$3.94M,1,0.405226,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 40.5% inside the range; flags: defense_impact_noisy,"{""currentImpactComponent"":0.3662,""roleCertaintyComponent"":0.3158,""futureUpsideComponent"":0.1206,""skillPortabilityComponent"":0.4497,""archetypeRiskComponent"":0.16,""ageYearsRiskComponent"":0.75,""productionReliabilityComponent"":0.6297}",defense_impact_noisy,missing,,,,,,,,missing,9.09,$9.09M,5.15,old_demand_close,none,,36,FC,53,53,47.430697,52.121645,51.558731,11.270235,0,19.595417,2.683232,1.520161,5.603538,21.156242
B-04,B40-08,280,Justin Holiday,minimum_plus_functional_vet,B. MINIMUM_PLUS / FUNCTIONAL VET,missing,,,,,,,,MINIMUM_LEVEL,$3.71M-$4.27M,3.71,4.27,missing,,,,,,MINIMUM_LEVEL,3.71,4.27,$3.71M-$4.27M,3.87,$3.87M,1,0.282842,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 28.3% inside the range; no major risk flags,"{""currentImpactComponent"":0.1237,""roleCertaintyComponent"":0.3538,""futureUpsideComponent"":0.0441,""skillPortabilityComponent"":0.4082,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0.75,""productionReliabilityComponent"":0.3184}",,missing,,,,,,,,missing,8.86,$8.86M,4.99,old_demand_close,none,,36,GF,55,55,47.214719,51.884307,51.323957,17.432444,0,10.632876,0.066379,-0.500371,-3.573109,16.791336
C-01,B40-09,1245,Keyonte George,low_rotation,C. LOW_ROTATION,missing,,,,,,,,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,3.87,6.96,missing,,,,,,YOUNG_UPSIDE_SUSPECT,3.87,6.96,$3.87M-$6.96M,5.12,$5.12M,1-2,0.4057,v2 keeps v1 tier/range (YOUNG_UPSIDE_SUSPECT) and places ask at 40.6% inside the range; flags: young_pot_only,"{""currentImpactComponent"":0.143,""roleCertaintyComponent"":0.3655,""futureUpsideComponent"":0.496,""skillPortabilityComponent"":0.4825,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.3279}",young_pot_only,missing,,,,,,,,missing,9.22,$9.22M,4.1,old_demand_close,none,,22,G,54,67,57.650517,50.319296,52.372038,15.912788,0.150685,11.408204,0.304315,-0.378603,-3.294241,18.680049
C-02,B40-10,1280,Jordan Hall,low_rotation,C. LOW_ROTATION,missing,,,,,,,,MINIMUM_LEVEL,$2.43M-$2.79M,2.43,2.79,missing,,,,,,MINIMUM_LEVEL,2.43,2.79,$2.43M-$2.79M,2.54,$2.54M,1-2,0.319075,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 31.9% inside the range; flags: young_pot_only,"{""currentImpactComponent"":0.1184,""roleCertaintyComponent"":0.3155,""futureUpsideComponent"":0.3788,""skillPortabilityComponent"":0.3057,""archetypeRiskComponent"":0.52,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.299}",young_pot_only,missing,,,,,,,,missing,10.37,$10.37M,7.83,old_demand_much_higher,none,,23,SF,55,65,56.543167,51.392263,52.834516,13.71513,0,10.883223,0.171538,-0.478909,-3.680336,18.554689
