section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
hard_floor,HIGH_END_ROTATION,,,,,205,32.3%,passes base HIGH_END_ROTATION hard floor before protected-tier and group gates
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,support score < 3,448,70.7%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,minimum stronger floor: valueNoPot < 55,436,68.8%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,minimum stronger floor: contractValue < 55,435,68.6%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,missing real role support,418,65.9%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,minimum stronger floor: MPG < 22,405,63.9%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,MPG < 18,401,63.2%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,missing core identity,399,62.9%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,valueNoPot < 52,383,60.4%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,minimum stronger floor: no neutral production,374,59.0%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,missing value/production support,372,58.7%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,contractValue < 52 and value < 54,356,56.2%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,GP < 45,203,32.0%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,PER < 9 and BPM < -3,192,30.3%,
hard_veto_or_group_fail_reason,HIGH_END_ROTATION,,,,protected current starter/star tier; 1A only tests below LOW_END_STARTER,109,17.2%,
entrants_by_current_tier,HIGH_END_ROTATION,,VETERAN_ROTATION_GUARD,HIGH_END_ROTATION,,10,30.3%,
entrants_by_current_tier,HIGH_END_ROTATION,,VETERAN_MINIMUM_PLUS,HIGH_END_ROTATION,,3,9.1%,
entrants_by_current_tier,HIGH_END_ROTATION,,SPECIALIST_ROTATION,HIGH_END_ROTATION,,3,9.1%,
