pool,currentTier,candidateTier,count,percentageOfCurrentTier,percentageOfCurrentTierText,moveDirection,moveSteps,focusTransition
all_active,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
all_active,STAR_NEAR_MAX,STAR_NEAR_MAX,19,1,100.0%,same,0,no
all_active,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
all_active,LOW_END_STARTER,LOW_END_STARTER,63,1,100.0%,same,0,no
all_active,SPECIALIST_ROTATION,HIGH_END_ROTATION,3,0.333333,33.3%,up,1,yes
all_active,SPECIALIST_ROTATION,SPECIALIST_ROTATION,6,0.666667,66.7%,same,0,no
all_active,YOUNG_UPSIDE_SUSPECT,HIGH_END_ROTATION,11,0.423077,42.3%,up,2,yes
all_active,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,15,0.576923,57.7%,same,0,no
all_active,VETERAN_ROTATION_GUARD,HIGH_END_ROTATION,10,0.714286,71.4%,up,3,no
all_active,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,4,0.285714,28.6%,same,0,no
all_active,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,10,1,100.0%,same,0,no
all_active,VETERAN_MINIMUM_PLUS,HIGH_END_ROTATION,3,0.5,50.0%,up,5,no
all_active,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,3,0.5,50.0%,same,0,no
all_active,MINIMUM_LEVEL,HIGH_END_ROTATION,6,0.013043,1.3%,up,6,yes
all_active,MINIMUM_LEVEL,MINIMUM_LEVEL,454,0.986957,98.7%,same,0,no
rostered_active,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
rostered_active,STAR_NEAR_MAX,STAR_NEAR_MAX,17,1,100.0%,same,0,no
rostered_active,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
rostered_active,LOW_END_STARTER,LOW_END_STARTER,58,1,100.0%,same,0,no
rostered_active,SPECIALIST_ROTATION,HIGH_END_ROTATION,3,0.428571,42.9%,up,1,yes
rostered_active,SPECIALIST_ROTATION,SPECIALIST_ROTATION,4,0.571429,57.1%,same,0,no
rostered_active,YOUNG_UPSIDE_SUSPECT,HIGH_END_ROTATION,11,0.423077,42.3%,up,2,yes
rostered_active,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,15,0.576923,57.7%,same,0,no
rostered_active,VETERAN_ROTATION_GUARD,HIGH_END_ROTATION,9,0.692308,69.2%,up,3,no
rostered_active,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,4,0.307692,30.8%,same,0,no
rostered_active,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,9,1,100.0%,same,0,no
rostered_active,VETERAN_MINIMUM_PLUS,HIGH_END_ROTATION,3,0.6,60.0%,up,5,no
rostered_active,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,2,0.4,40.0%,same,0,no
rostered_active,MINIMUM_LEVEL,HIGH_END_ROTATION,6,0.020134,2.0%,up,6,yes
rostered_active,MINIMUM_LEVEL,MINIMUM_LEVEL,292,0.979866,98.0%,same,0,no
top15_roster_proxy,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
top15_roster_proxy,STAR_NEAR_MAX,STAR_NEAR_MAX,17,1,100.0%,same,0,no
top15_roster_proxy,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
top15_roster_proxy,LOW_END_STARTER,LOW_END_STARTER,58,1,100.0%,same,0,no
top15_roster_proxy,SPECIALIST_ROTATION,HIGH_END_ROTATION,3,0.428571,42.9%,up,1,yes
top15_roster_proxy,SPECIALIST_ROTATION,SPECIALIST_ROTATION,4,0.571429,57.1%,same,0,no
