pid,name,tid,age,pos,ovr,pot,value,valueNoPot,potentialPremium,valueComputed,valueNoPotComputed,valueDiff,valueNoPotDiff,getContractValue,estimatedDemandNoRandom,rawContractAmount,rawContractYears,rawContractOption,normalNoOptionContractAmount,normalNoOptionContractYears,normalNoOptionContractCapPct,eligibleMax,eligibleMaxTier,minContractForPlayer,latestRegularSeason,GP,GS,min,MPG,starterShare,PTS,TRB,AST,STL,BLK,TOV,ptsTotal,trbTotal,astTotal,stlTotal,blkTotal,tovTotal,TS,eFG,PER,EWA,VORP,BPM,OBPM,DBPM,On-Off,USG,AST%,TRB%,DRB%,ORB%,STL%,BLK%,comp_usage,comp_dribbling,comp_passing,comp_turnovers,comp_shootingThreePointer,comp_shootingAtRim,comp_shootingLowPost,comp_rebounding,comp_offensiveRebounding,comp_defensiveRebounding,comp_defense,comp_defenseInterior,comp_defensePerimeter,comp_blocking,comp_athleticism,skills,generatedSkills,skill_V_rating,skill_V_cutoff,skill_V_margin,skill_V_pass,skill_B_rating,skill_B_cutoff,skill_B_margin,skill_B_pass,skill_Ps_rating,skill_Ps_cutoff,skill_Ps_margin,skill_Ps_pass,skill_Po_rating,skill_Po_cutoff,skill_Po_margin,skill_Po_pass,skill_3_rating,skill_3_cutoff,skill_3_margin,skill_3_pass,skill_R_rating,skill_R_cutoff,skill_R_margin,skill_R_pass,skill_Di_rating,skill_Di_cutoff,skill_Di_margin,skill_Di_pass,skill_Dp_rating,skill_Dp_cutoff,skill_Dp_margin,skill_Dp_pass,skill_A_rating,skill_A_cutoff,skill_A_margin,skill_A_pass,note,targetTier,targetRangeM,targetNotes,targetTierScore
1294,Sam Hauser,-1,28,F,56,56,50.285549,52.932157,-2.646608,50.376408,53.027798,-0.090859,-0.095641,52.402836,10530,2870,3,player,3160,3,0.020433,38663,25,2510,2025,74,7,1024.348745,13.842551,0.094595,6.648649,1.932432,0.540541,0.351351,0.081081,0.756757,492,143,40,26,6,56,0.661504,0.630372,14.869057,1.577418,0.621237,0.390099,1.232675,-0.842576,0.919137,17.609198,5.920676,7.505691,11.544011,3.238487,1.217749,0.494939,0.553077,0.535,0.505263,0.353333,0.756364,0.494643,0.445,0.552692,0.547227,0.544298,0.46,0.46,0.477778,0.451111,0.485333,3,3,0.543846,0.61,-0.066154,false,0.525,0.68,-0.155,false,0.495263,0.63,-0.134737,false,0.438125,0.61,-0.171875,false,0.746364,0.59,0.156364,true,0.546538,0.61,-0.063462,false,0.453846,0.57,-0.116154,false,0.468889,0.61,-0.141111,false,0.477333,0.63,-0.152667,false,估计在6mil左右,SPECIALIST_ROTATION,5-7,specialist rotation target from current discussion,4
361,Skal Labissière,-1,29,FC,56,56,49.07757,52.210181,-3.132611,49.177332,52.316311,-0.099762,-0.106129,51.834268,9560,3780,3,player,4160,3,0.026899,46395,30,3370,2025,47,2,542.791869,11.548763,0.042553,3.659574,2.680851,0.595745,0.255319,0.404255,0.978723,172,126,28,12,19,46,0.503159,0.447368,9.349305,-0.367412,-0.320113,-4.324218,-3.627503,-0.696714,-16.916458,16.847354,7.160717,12.480721,16.580256,8.148833,1.060669,2.957796,0.5,0.465,0.489474,0.546667,0.389091,0.627143,0.586875,0.604423,0.592101,0.594628,0.539091,0.573077,0.496667,0.561111,0.532667,Di,Di,0.5,0.61,-0.11,false,0.465,0.68,-0.215,false,0.489474,0.63,-0.140526,false,0.586875,0.61,-0.023125,false,0.389091,0.59,-0.200909,false,0.604423,0.61,-0.005577,false,0.573077,0.57,0.003077,true,0.496667,0.61,-0.113333,false,0.532667,0.63,-0.097333,false,底薪,MINIMUM_LEVEL,,minimum level,1
225,Rudy Gobert,-1,33,C,55,55,47.83269,51.992054,-4.159364,47.940657,52.109409,-0.107967,-0.117355,51.49293,8980,3830,3,,3830,3,0.024766,54128,35,3710,2025,81,2,851.702266,10.514843,0.024691,2.592593,3.45679,0.604938,0.234568,0.518519,0.703704,210,280,49,19,42,57,0.625149,0.612676,13.379963,0.942368,0.25697,-0.810946,-1.400272,0.589326,-10.297234,11.134813,7.795709,17.67554,23.59063,11.425195,1.070281,4.166865,0.403077,0.37,0.495263,0.506667,0.117273,0.736071,0.610625,0.711154,0.664454,0.689835,0.571818,0.642308,0.452222,0.612222,0.508667,Di Po R,Di R,0.393846,0.61,-0.216154,false,0.36,0.68,-0.32,false,0.485263,0.63,-0.144737,false,0.60375,0.61,-0.00625,false,0.107273,0.59,-0.482727,false,0.705,0.61,0.095,true,0.636154,0.57,0.066154,true,0.443333,0.61,-0.166667,false,0.500667,0.63,-0.129333,false,底薪–$2.5M/year,VETERAN_MINIMUM_PLUS,-2.5,minimum to 2.5M,2
8,Jarrett Allen,18,27,C,72,74,64.93492,66.542822,-1.607901,64.686502,66.291039,0.248419,0.251782,66.221241,34140,30100,5,player,33110,5,0.214096,46395,30,3360,2025,82,82,2652.69149,32.349896,1,18.036585,10.085366,3.121951,1.402439,1.256098,3,1479,827,256,115,103,246,0.598165,0.545966,21.59672,11.61031,4.542624,4.757362,2.958375,1.798987,11.342083,23.161143,15.845027,16.407047,23.393484,9.119831,2.059026,3.299251,0.616923,0.56,0.561579,0.573333,0.511818,0.727857,0.72125,0.714423,0.713025,0.715868,0.690909,0.703077,0.647778,0.643333,0.672667,A Di Dp Po R V,A Di Dp Po R V,0.616923,0.61,0.006923,true,0.56,0.68,-0.12,false,0.561579,0.63,-0.068421,false,0.72125,0.61,0.11125,true,0.511818,0.59,-0.078182,false,0.714423,0.61,0.104423,true,0.703077,0.57,0.133077,true,0.647778,0.61,0.037778,true,0.672667,0.63,0.042667,true,42-46.4,STAR_NEAR_MAX,42-46.4,near max,8
1669,Alperen Şengün,14,23,C,64,72,63.685507,59.623014,4.062493,63.460162,59.531644,0.225345,0.091371,60.435513,24250,18180,5,,18180,5,0.117556,38663,25,2510,2025,76,76,2269.659838,29.863945,1,15.039474,7.881579,3.986842,0.986842,0.671053,2.828947,1143,599,303,75,51,215,0.555502,0.508899,17.56127,6.288444,1.811398,1.149273,0.911263,0.23801,3.421947,23.009137,20.00825,13.99561,21.013332,6.873372,1.572082,1.933869,0.623846,0.555,0.608421,0.6,0.461818,0.63,0.659375,0.642308,0.611933,0.635537,0.552727,0.564615,0.547778,0.516667,0.540667,Po R V,Po R,0.605385,0.61,-0.004615,false,0.535,0.68,-0.145,false,0.588421,0.63,-0.041579,false,0.645625,0.61,0.035625,true,0.441818,0.59,-0.148182,false,0.63,0.61,0.02,true,0.552308,0.57,-0.017692,false,0.53,0.61,-0.08,false,0.524667,0.63,-0.105333,false,$26M–34M/year,YOUNG_PROVEN_STARTER,26-34,young proven starter,7
906,Ayo Dosunmu,11,25,SG,69,72,64.333242,63.195004,1.138239,64.081775,62.970648,0.251467,0.224356,63.422651,29360,20650,5,player,22720,5,0.146912,38663,25,2510,2025,54,54,1943.99996,35.999999,1,17.259259,6.574074,8.314815,2,0.407407,2.555556,932,355,449,108,22,138,0.532571,0.506443,20.209541,7.512576,4.470532,7.062945,4.268784,2.794161,6.959063,21.524768,36.583211,9.514523,15.136172,4.10292,2.630878,0.98151,0.603846,0.61,0.624737,0.48,0.651818,0.522143,0.55375,0.601346,0.611849,0.611983,0.611818,0.574615,0.621111,0.531111,0.601333,3 Di Dp,3 Di Dp Ps V,0.613077,0.61,0.003077,true,0.62,0.68,-0.06,false,0.634737,0.63,0.004737,true,0.560625,0.61,-0.049375,false,0.661818,0.59,0.071818,true,0.6075,0.61,-0.0025,false,0.580769,0.57,0.010769,true,0.63,0.61,0.02,true,0.609333,0.63,-0.020667,false,28-34,YOUNG_PROVEN_STARTER,28-34,young proven starter,7
1479,Jaden McDaniels,-1,25,F,63,67,59.712366,58.50138,1.210985,59.620672,58.447111,0.091693,0.05427,58.743577,21360,12430,5,,12430,5,0.080375,38663,25,2720,2025,76,76,2150.358764,28.294194,1,12.302632,6.947368,1.118421,1.236842,1.368421,1.815789,935,528,85,94,104,138,0.558382,0.505992,16.274317,4.514099,0.697282,-0.720457,-0.712429,-0.008028,-0.47313,18.987308,6.177162,12.896346,18.084187,7.986714,2.090817,4.204548,0.564615,0.535,0.522105,0.58,0.467273,0.6,0.60125,0.624231,0.622185,0.618595,0.61,0.609231,0.603333,0.606667,0.6,Di R,Di R,0.555385,0.61,-0.054615,false,0.525,0.68,-0.155,false,0.512105,0.63,-0.117895,false,0.594375,0.61,-0.015625,false,0.457273,0.59,-0.132727,false,0.618077,0.61,0.008077,true,0.603077,0.57,0.033077,true,0.594444,0.61,-0.015556,false,0.592,0.63,-0.038,false,13-20,LOW_END_STARTER,13-20,low-end starter,6
1409,Vit Krejci,-1,25,G,54,58,52.161607,51.148316,1.013292,52.293378,51.308588,-0.13177,-0.160272,51.350974,8730,3150,3,,3150,3,0.020369,38663,25,2720,2025,81,0,633.433028,7.820161,0,3.012346,1,1.592593,0.098765,0.061728,0.469136,244,81,129,8,5,38,0.588917,0.558659,14.782539,1.016654,0.563481,1.541368,1.489185,0.052183,3.561669,16.167155,29.001507,6.911062,11.744154,1.909746,0.598089,0.675059,0.512308,0.565,0.631053,0.493333,0.526364,0.488929,0.456875,0.487885,0.479076,0.483967,0.436364,0.44,0.467778,0.476667,0.466667,Ps,Ps,0.512308,0.61,-0.097692,false,0.565,0.68,-0.115,false,0.631053,0.63,0.001053,true,0.456875,0.61,-0.153125,false,0.526364,0.59,-0.063636,false,0.487885,0.61,-0.122115,false,0.44,0.57,-0.13,false,0.467778,0.61,-0.142222,false,0.466667,0.63,-0.163333,false,3-5,LOW_ROTATION_PLUS,3-5,low rotation plus,3
65,Eric Bledsoe,-1,36,G,55,55,46.942899,51.585603,-4.642704,47.07008,51.725362,-0.127181,-0.139759,51.028479,8180,3960,2,,3960,2,0.025606,54128,35,3710,2025,24,0,250.577928,10.440747,0,3.041667,1.333333,1.541667,0.458333,0.041667,0.833333,73,32,37,11,1,20,0.513506,0.492647,9.604406,-0.114253,-0.026289,-2.413982,-3.172743,0.758761,6.953797,15.263871,21.175569,6.858896,11.311122,2.194481,2.087587,0.343834,0.503846,0.545,0.614211,0.653333,0.460909,0.441071,0.484375,0.456346,0.442605,0.465289,0.52,0.503077,0.475556,0.426667,0.439333,,,0.476154,0.61,-0.133846,false,0.515,0.68,-0.165,false,0.584211,0.63,-0.045789,false,0.46375,0.61,-0.14625,false,0.430909,0.59,-0.159091,false,0.437885,0.61,-0.172115,false,0.484615,0.57,-0.085385,false,0.448889,0.61,-0.161111,false,0.415333,0.63,-0.214667,false,底薪/twoway,VETERAN_MINIMUM_LEVEL,,veteran minimum level,1
1363,Keon Johnson,1,23,SG,59,68,59.189488,54.008809,5.180678,59.094713,54.050169,0.094775,-0.04136,55.459399,14490,7510,4,,7510,4,0.048561,38663,25,2510,2025,59,36,1324.178374,22.443701,0.610169,6.644068,3.627119,1.508475,0.983051,1,1.491525,392,214,89,58,59,88,0.486352,0.451149,10.381176,-0.062624,-0.307294,-2.920366,-3.079735,0.15937,11.483707,15.63266,9.804694,8.564188,13.139851,4.215103,2.111111,3.906894,0.48,0.565,0.543684,0.573333,0.417273,0.426429,0.491875,0.435962,0.514874,0.463471,0.578182,0.526154,0.621111,0.558889,0.644,A Dp,A Dp,0.498462,0.61,-0.111538,false,0.585,0.68,-0.095,false,0.563684,0.63,-0.066316,false,0.505625,0.61,-0.104375,false,0.437273,0.59,-0.152727,false,0.448269,0.61,-0.161731,false,0.538462,0.57,-0.031538,false,0.638889,0.61,0.028889,true,0.66,0.63,0.03,true,4-6,YOUNG_UPSIDE_SUSPECT,4-6,young upside suspect,4
