pool,model,tier,count,tierMinCapPct,tierMidpointCapPct,tierMaxCapPct,totalImpliedMinCapPct,totalImpliedMidpointCapPct,totalImpliedMaxCapPct,impliedMidpointCapPctPer30Teams,deltaTotalMidpointCapPctVsCurrent
all_active,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
all_active,current,STAR_NEAR_MAX,19,25.705,27.458,29.211,488.404,521.703,555.001,17.39,0
all_active,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
all_active,current,LOW_END_STARTER,63,6,9,12,378,567,756,18.9,0
all_active,current,SPECIALIST_ROTATION,9,3.5,4.5,5.5,31.501,40.501,49.501,1.35,0
all_active,current,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
all_active,current,VETERAN_ROTATION_GUARD,14,4,5,6,56,70,84,2.333,0
all_active,current,LOW_ROTATION_PLUS,10,2,2.75,3.5,20,27.501,35.002,0.917,0
all_active,current,VETERAN_MINIMUM_PLUS,6,2.362,2.931,3.5,14.174,17.587,21.001,0.586,0
all_active,current,MINIMUM_LEVEL,460,1.796,1.931,2.066,826.169,888.171,950.173,29.606,0
all_active,current,__TOTAL__,634,3.75,4.397,5.044,2377.252,2787.461,3197.67,92.915,0
all_active,candidate,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
all_active,candidate,STAR_NEAR_MAX,19,25.705,27.458,29.211,488.404,521.703,555.001,17.39,0
all_active,candidate,HIGH_IMPACT_STARTER,75,17,19.75,22.5,1275.024,1481.256,1687.488,49.375,1481.256
all_active,candidate,YOUNG_PROVEN_STARTER,17,17,19.75,22.5,289.005,335.751,382.497,11.192,-138.251
all_active,candidate,SOLID_STARTER,29,12,14.5,17,348,420.505,493.009,14.017,420.505
all_active,candidate,HIGH_END_ROTATION,5,7,9.5,12,35.002,47.501,60,1.583,47.501
all_active,candidate,LOW_END_STARTER,54,6,9,12,324,486,648,16.2,-81
all_active,candidate,SPECIALIST_ROTATION,24,3.5,4.5,5.5,84.004,108.004,132.004,3.6,67.502
all_active,candidate,YOUNG_UPSIDE_SUSPECT,11,2.5,3.5,4.5,27.498,38.498,49.498,1.283,-52.498
all_active,candidate,VETERAN_ROTATION_GUARD,2,4,5,6,8,10,12,0.333,-60
all_active,candidate,LOW_ROTATION_PLUS,88,2.107,2.803,3.5,185.394,246.704,308.014,8.223,219.203
all_active,candidate,VETERAN_MINIMUM_PLUS,3,2.399,2.95,3.5,7.197,8.849,10.5,0.295,-8.739
all_active,candidate,MINIMUM_LEVEL,304,1.721,1.85,1.98,523.227,562.498,601.77,18.75,-325.672
all_active,candidate,__TOTAL__,634,5.812,6.873,7.933,3684.755,4357.269,5029.782,145.242,1569.808
rostered_active,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
rostered_active,current,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
rostered_active,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
rostered_active,current,LOW_END_STARTER,58,6,9,12,348,522,696,17.4,0
rostered_active,current,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
rostered_active,current,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
rostered_active,current,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
rostered_active,current,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
rostered_active,current,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
rostered_active,current,MINIMUM_LEVEL,298,1.804,1.94,2.075,537.659,578.008,618.356,19.267,0
rostered_active,current,__TOTAL__,460,4.327,5.122,5.917,1990.543,2356.198,2721.853,78.54,0
rostered_active,candidate,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
rostered_active,candidate,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
rostered_active,candidate,HIGH_IMPACT_STARTER,71,17,19.75,22.5,1207.023,1402.256,1597.489,46.742,1402.256
rostered_active,candidate,YOUNG_PROVEN_STARTER,16,17,19.75,22.5,272.005,316.001,359.997,10.533,-158.001
