section,lane,currentTier,candidateTier,signalOrCombination,count,percentage,improvedCount,worsenedCount,newSevere,fixedSevere,tooHighAdded,tooLowFixed,notes
high_impact_hard_veto,HIGH_IMPACT_STARTER,,,passes all hard vetoes,127,20.0%,,,,,,,"GP>=40, MPG>=25, valueNoPot>=55, no extreme poor production, no low TS+negative OBPM"
high_impact_support_signal_entrants,HIGH_IMPACT_STARTER,,,full or established starter-like role,73,97.3%,,,,,,,125 of 127 hard-veto-pass players also pass this signal
high_impact_support_signal_entrants,HIGH_IMPACT_STARTER,,,contractValue >= 60,48,64.0%,,,,,,,70 of 127 hard-veto-pass players also pass this signal
high_impact_support_signal_entrants,HIGH_IMPACT_STARTER,,,valueNoPot >= 59,55,73.3%,,,,,,,80 of 127 hard-veto-pass players also pass this signal
high_impact_support_signal_entrants,HIGH_IMPACT_STARTER,,,current impact production,73,97.3%,,,,,,,100 of 127 hard-veto-pass players also pass this signal
high_impact_support_signal_entrants,HIGH_IMPACT_STARTER,,,non-scoring connector/defense,70,93.3%,,,,,,,95 of 127 hard-veto-pass players also pass this signal
high_impact_signal_combination,HIGH_IMPACT_STARTER,,,full or established starter-like role; contractValue >= 60; valueNoPot >= 59; current impact production; non-scoring connector/defense,41,54.7%,,,,,,,
high_impact_signal_combination,HIGH_IMPACT_STARTER,,,full or established starter-like role; current impact production; non-scoring connector/defense,20,26.7%,,,,,,,
high_impact_signal_combination,HIGH_IMPACT_STARTER,,,full or established starter-like role; valueNoPot >= 59; current impact production; non-scoring connector/defense,7,9.3%,,,,,,,
high_impact_signal_combination,HIGH_IMPACT_STARTER,,,full or established starter-like role; contractValue >= 60; valueNoPot >= 59; current impact production,3,4.0%,,,,,,,
high_impact_signal_combination,HIGH_IMPACT_STARTER,,,contractValue >= 60; valueNoPot >= 59; current impact production; non-scoring connector/defense,2,2.7%,,,,,,,
high_impact_signal_combination,HIGH_IMPACT_STARTER,,,full or established starter-like role; contractValue >= 60; valueNoPot >= 59,2,2.7%,,,,,,,
high_impact_source_current_tier,HIGH_IMPACT_STARTER,LOW_END_STARTER,HIGH_IMPACT_STARTER,,41,54.7%,,,,,,,
high_impact_source_current_tier,HIGH_IMPACT_STARTER,YOUNG_PROVEN_STARTER,HIGH_IMPACT_STARTER,,24,32.0%,,,,,,,
high_impact_source_current_tier,HIGH_IMPACT_STARTER,MINIMUM_LEVEL,HIGH_IMPACT_STARTER,,4,5.3%,,,,,,,
high_impact_source_current_tier,HIGH_IMPACT_STARTER,VETERAN_ROTATION_GUARD,HIGH_IMPACT_STARTER,,2,2.7%,,,,,,,
high_impact_source_current_tier,HIGH_IMPACT_STARTER,VETERAN_MINIMUM_PLUS,HIGH_IMPACT_STARTER,,2,2.7%,,,,,,,
high_impact_source_current_tier,HIGH_IMPACT_STARTER,YOUNG_UPSIDE_SUSPECT,HIGH_IMPACT_STARTER,,2,2.7%,,,,,,,
transition_signal_combination,LOW_END_STARTER -> HIGH_IMPACT_STARTER,LOW_END_STARTER,HIGH_IMPACT_STARTER,full or established starter-like role; contractValue >= 60; valueNoPot >= 59; current impact production; non-scoring connector/defense,19,46.3%,,,,,,,
transition_signal_combination,LOW_END_STARTER -> HIGH_IMPACT_STARTER,LOW_END_STARTER,HIGH_IMPACT_STARTER,full or established starter-like role; current impact production; non-scoring connector/defense,16,39.0%,,,,,,,
transition_signal_combination,LOW_END_STARTER -> HIGH_IMPACT_STARTER,LOW_END_STARTER,HIGH_IMPACT_STARTER,full or established starter-like role; valueNoPot >= 59; current impact production; non-scoring connector/defense,4,9.8%,,,,,,,
transition_signal_combination,LOW_END_STARTER -> HIGH_IMPACT_STARTER,LOW_END_STARTER,HIGH_IMPACT_STARTER,full or established starter-like role; contractValue >= 60; valueNoPot >= 59,1,2.4%,,,,,,,
transition_signal_combination,LOW_END_STARTER -> HIGH_IMPACT_STARTER,LOW_END_STARTER,HIGH_IMPACT_STARTER,full or established starter-like role; contractValue >= 60; valueNoPot >= 59; current impact production,1,2.4%,,,,,,,
transition_signal_combination,YOUNG_PROVEN_STARTER -> HIGH_IMPACT_STARTER,YOUNG_PROVEN_STARTER,HIGH_IMPACT_STARTER,full or established starter-like role; contractValue >= 60; valueNoPot >= 59; current impact production; non-scoring connector/defense,22,91.7%,,,,,,,
