pool,tier,count,percentage,avgAge,avgMPG,avgValue,avgValueNoPot,avgGetContractValue,avgPER,avgEWA,avgVORP,avgBPM
all_active,SUPERSTAR_MAX,3,0.004732,23.666667,36.851049,74.130428,72.401589,72.726569,29.876448,19.755199,9.574461,12.442498
all_active,STAR_NEAR_MAX,19,0.029968,25.736842,35.836926,68.415602,68.25512,68.317377,24.251729,12.848404,5.901409,7.671533
all_active,HIGH_IMPACT_STARTER,75,0.118297,27.053333,30.968898,60.078595,60.669568,60.672919,18.34727,6.298808,2.55657,2.852343
all_active,YOUNG_PROVEN_STARTER,17,0.026814,23.529412,26.838064,61.084885,57.223021,58.080955,15.719163,3.438217,0.973513,0.330704
all_active,SOLID_STARTER,29,0.045741,28.482759,27.008107,54.815267,56.316455,56.179752,14.823056,2.967375,0.844154,-0.159125
all_active,HIGH_END_ROTATION,5,0.007886,26.8,21.909273,54.607561,55.038313,55.112951,15.119761,2.55166,1.06186,0.795177
all_active,LOW_END_STARTER,54,0.085174,27.722222,24.508456,52.820402,54.184943,54.044802,12.641461,1.165909,-0.020594,-2.020008
all_active,SPECIALIST_ROTATION,24,0.037855,26.833333,17.903729,52.683427,52.647957,52.778942,12.370579,0.852499,-0.103657,-2.351658
all_active,YOUNG_UPSIDE_SUSPECT,11,0.01735,21.272727,12.428276,58.607908,50.409554,52.705093,12.718362,0.544042,-0.140372,-2.450932
all_active,VETERAN_ROTATION_GUARD,2,0.003155,31.5,27.359005,58.31112,62.53912,61.926721,23.331793,4.8387,2.617139,8.880564
all_active,LOW_ROTATION_PLUS,88,0.138801,27.511364,13.495614,50.662931,51.296842,51.324056,11.82196,0.287658,-0.223536,-2.790271
all_active,VETERAN_MINIMUM_PLUS,3,0.004732,33.666667,16.938452,49.576775,54.085367,53.544336,14.381589,1.403123,0.246743,-0.93845
all_active,MINIMUM_LEVEL,304,0.479495,25.526316,6.034705,44.174177,41.664526,42.477488,7.00995,-0.183956,-0.178407,-5.524071
contract_relevant,SUPERSTAR_MAX,0,0,,,,,,,,,
contract_relevant,STAR_NEAR_MAX,5,0.015528,27,34.581157,65.824037,67.466809,67.266389,24.117661,12.017809,5.519794,7.556014
contract_relevant,HIGH_IMPACT_STARTER,21,0.065217,28.095238,31.157131,59.405245,60.813585,60.690598,18.642284,6.627339,2.601331,2.841928
contract_relevant,YOUNG_PROVEN_STARTER,6,0.018634,23.333333,26.037764,61.576677,57.400972,58.29163,15.879719,3.595816,0.914117,0.146195
contract_relevant,SOLID_STARTER,7,0.021739,29.571429,26.107444,54.84501,56.929741,56.76834,13.983716,2.293453,0.632353,-0.577495
contract_relevant,HIGH_END_ROTATION,2,0.006211,28.5,21.709654,53.47131,55.238903,55.066463,14.994099,2.37763,1.000857,0.940467
contract_relevant,LOW_END_STARTER,13,0.040373,28.153846,23.824318,51.686072,53.431833,53.217657,12.277335,0.899296,0.185836,-1.589799
contract_relevant,SPECIALIST_ROTATION,11,0.034161,27.818182,17.435206,51.627746,52.565758,52.525907,12.732237,1.153648,0.005566,-2.109651
contract_relevant,YOUNG_UPSIDE_SUSPECT,1,0.003106,21,17.214621,60.079375,52.385419,54.539727,11.448758,0.181408,-0.525025,-4.05014
contract_relevant,VETERAN_ROTATION_GUARD,2,0.006211,31.5,27.359005,58.31112,62.53912,61.926721,23.331793,4.8387,2.617139,8.880564
contract_relevant,LOW_ROTATION_PLUS,35,0.108696,28.485714,12.653484,49.736539,50.983158,50.943335,11.621395,0.15328,-0.227491,-2.798855
contract_relevant,VETERAN_MINIMUM_PLUS,1,0.003106,33,10.514843,47.83269,51.992054,51.49293,13.379963,0.942368,0.25697,-0.810946
contract_relevant,MINIMUM_LEVEL,218,0.677019,26.146789,5.75924,42.273354,40.430781,41.093052,6.474398,-0.165064,-0.142911,-5.505722
