pool,tier,count,percentage,avgAge,avgMPG,avgValue,avgValueNoPot,avgGetContractValue,avgPER,avgEWA,avgVORP,avgBPM
all_active,SUPERSTAR_MAX,3,0.004732,23.666667,36.851049,74.130428,72.401589,72.726569,29.876448,19.755199,9.574461,12.442498
all_active,STAR_NEAR_MAX,19,0.029968,25.736842,35.836926,68.415602,68.25512,68.317377,24.251729,12.848404,5.901409,7.671533
all_active,HIGH_IMPACT_STARTER,0,0,,,,,,,,,
all_active,YOUNG_PROVEN_STARTER,24,0.037855,23.875,32.468319,64.883794,62.221299,62.753798,19.368377,7.671034,2.812957,3.046868
all_active,SOLID_STARTER,0,0,,,,,,,,,
all_active,HIGH_END_ROTATION,0,0,,,,,,,,,
all_active,LOW_END_STARTER,63,0.099369,28.444444,30.013666,57.342044,59.169831,58.956831,16.855212,5.018966,1.915971,1.596719
all_active,SPECIALIST_ROTATION,9,0.014196,27,19.120169,53.218948,53.815478,53.73587,13.711499,1.863762,0.608203,-0.703831
all_active,YOUNG_UPSIDE_SUSPECT,26,0.041009,21.769231,18.393315,60.044283,53.265839,55.032441,13.477656,1.43441,0.219467,-1.501026
all_active,VETERAN_ROTATION_GUARD,14,0.022082,30.642857,25.325253,52.5294,56.291245,55.793502,17.040627,3.600469,1.858931,3.105277
all_active,LOW_ROTATION_PLUS,10,0.015773,25.1,10.615348,53.599889,52.593908,52.862472,14.659124,1.081384,0.248251,-0.614062
all_active,VETERAN_MINIMUM_PLUS,6,0.009464,32.166667,20.423054,51.53698,55.905356,55.381151,15.305408,2.305295,0.50505,-0.53161
all_active,MINIMUM_LEVEL,460,0.725552,26.221739,10.697426,46.805512,45.441702,45.966943,8.808271,0.158552,-0.143324,-4.4478
contract_relevant,SUPERSTAR_MAX,0,0,,,,,,,,,
contract_relevant,STAR_NEAR_MAX,5,0.015528,27,34.581157,65.824037,67.466809,67.266389,24.117661,12.017809,5.519794,7.556014
contract_relevant,HIGH_IMPACT_STARTER,0,0,,,,,,,,,
contract_relevant,YOUNG_PROVEN_STARTER,7,0.021739,23.428571,32.944108,65.624786,62.33117,62.989893,19.761631,8.304902,2.576865,2.339063
contract_relevant,SOLID_STARTER,0,0,,,,,,,,,
contract_relevant,HIGH_END_ROTATION,0,0,,,,,,,,,
contract_relevant,LOW_END_STARTER,18,0.055901,29.888889,30.085416,56.672093,59.524983,59.167009,17.077052,5.088811,2.107767,2.072146
contract_relevant,SPECIALIST_ROTATION,6,0.018634,26.333333,18.894661,53.292661,53.531128,53.483434,13.330078,1.384362,0.335838,-1.015361
contract_relevant,YOUNG_UPSIDE_SUSPECT,5,0.015528,22,21.526175,61.562907,55.475967,56.979289,15.168255,2.637971,0.713285,-0.373023
contract_relevant,VETERAN_ROTATION_GUARD,5,0.015528,30.6,24.54442,53.958707,57.846081,57.337581,18.53128,3.553385,1.980254,4.789531
contract_relevant,LOW_ROTATION_PLUS,3,0.009317,24,7.720026,53.064373,50.840169,51.435925,16.543421,1.311916,0.326947,0.251107
contract_relevant,VETERAN_MINIMUM_PLUS,3,0.009317,31,20.67821,52.201862,56.317385,55.823522,15.990998,2.997043,0.824064,0.183793
contract_relevant,MINIMUM_LEVEL,270,0.838509,26.637037,8.076022,43.83675,42.644642,43.156917,7.452447,-0.058523,-0.148319,-4.969451
