pool,currentTier,candidateTier,count,percentageOfCurrentTier,moveDirection,moveSteps,netUpwardMoves,netDownwardMoves
all_active,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,same,0,0,0
all_active,STAR_NEAR_MAX,STAR_NEAR_MAX,19,1,same,0,0,0
all_active,YOUNG_PROVEN_STARTER,HIGH_IMPACT_STARTER,24,1,up,1,24,0
all_active,LOW_END_STARTER,HIGH_IMPACT_STARTER,41,0.650794,up,4,41,0
all_active,LOW_END_STARTER,YOUNG_PROVEN_STARTER,7,0.111111,up,3,7,0
all_active,LOW_END_STARTER,SOLID_STARTER,14,0.222222,up,2,14,0
all_active,LOW_END_STARTER,LOW_END_STARTER,1,0.015873,same,0,0,0
all_active,SPECIALIST_ROTATION,YOUNG_PROVEN_STARTER,1,0.111111,up,4,1,0
all_active,SPECIALIST_ROTATION,SOLID_STARTER,2,0.222222,up,3,2,0
all_active,SPECIALIST_ROTATION,SPECIALIST_ROTATION,6,0.666667,same,0,0,0
all_active,YOUNG_UPSIDE_SUSPECT,HIGH_IMPACT_STARTER,2,0.076923,up,6,2,0
all_active,YOUNG_UPSIDE_SUSPECT,YOUNG_PROVEN_STARTER,6,0.230769,up,5,6,0
all_active,YOUNG_UPSIDE_SUSPECT,SOLID_STARTER,1,0.038462,up,4,1,0
all_active,YOUNG_UPSIDE_SUSPECT,LOW_END_STARTER,2,0.076923,up,2,2,0
all_active,YOUNG_UPSIDE_SUSPECT,SPECIALIST_ROTATION,4,0.153846,up,1,4,0
all_active,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,11,0.423077,same,0,0,0
all_active,VETERAN_ROTATION_GUARD,HIGH_IMPACT_STARTER,2,0.142857,up,7,2,0
all_active,VETERAN_ROTATION_GUARD,SOLID_STARTER,4,0.285714,up,5,4,0
all_active,VETERAN_ROTATION_GUARD,HIGH_END_ROTATION,2,0.142857,up,4,2,0
all_active,VETERAN_ROTATION_GUARD,LOW_END_STARTER,4,0.285714,up,3,4,0
all_active,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,2,0.142857,same,0,0,0
all_active,LOW_ROTATION_PLUS,SPECIALIST_ROTATION,1,0.1,up,3,1,0
all_active,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,9,0.9,same,0,0,0
all_active,VETERAN_MINIMUM_PLUS,HIGH_IMPACT_STARTER,2,0.333333,up,9,2,0
all_active,VETERAN_MINIMUM_PLUS,LOW_END_STARTER,1,0.166667,up,5,1,0
all_active,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,3,0.5,same,0,0,0
all_active,MINIMUM_LEVEL,HIGH_IMPACT_STARTER,4,0.008696,up,10,4,0
all_active,MINIMUM_LEVEL,YOUNG_PROVEN_STARTER,3,0.006522,up,9,3,0
all_active,MINIMUM_LEVEL,SOLID_STARTER,8,0.017391,up,8,8,0
all_active,MINIMUM_LEVEL,HIGH_END_ROTATION,3,0.006522,up,7,3,0
all_active,MINIMUM_LEVEL,LOW_END_STARTER,46,0.1,up,6,46,0
all_active,MINIMUM_LEVEL,SPECIALIST_ROTATION,13,0.028261,up,5,13,0
all_active,MINIMUM_LEVEL,LOW_ROTATION_PLUS,79,0.171739,up,2,79,0
all_active,MINIMUM_LEVEL,MINIMUM_LEVEL,304,0.66087,same,0,0,0
contract_relevant,STAR_NEAR_MAX,STAR_NEAR_MAX,5,1,same,0,0,0
contract_relevant,YOUNG_PROVEN_STARTER,HIGH_IMPACT_STARTER,7,1,up,1,7,0
contract_relevant,LOW_END_STARTER,HIGH_IMPACT_STARTER,12,0.666667,up,4,12,0
contract_relevant,LOW_END_STARTER,YOUNG_PROVEN_STARTER,2,0.111111,up,3,2,0
contract_relevant,LOW_END_STARTER,SOLID_STARTER,4,0.222222,up,2,4,0
contract_relevant,SPECIALIST_ROTATION,YOUNG_PROVEN_STARTER,1,0.166667,up,4,1,0
contract_relevant,SPECIALIST_ROTATION,SPECIALIST_ROTATION,5,0.833333,same,0,0,0
contract_relevant,YOUNG_UPSIDE_SUSPECT,YOUNG_PROVEN_STARTER,3,0.6,up,5,3,0
contract_relevant,YOUNG_UPSIDE_SUSPECT,SPECIALIST_ROTATION,1,0.2,up,1,1,0
contract_relevant,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,1,0.2,same,0,0,0
contract_relevant,VETERAN_ROTATION_GUARD,HIGH_END_ROTATION,1,0.2,up,4,1,0
contract_relevant,VETERAN_ROTATION_GUARD,LOW_END_STARTER,2,0.4,up,3,2,0
contract_relevant,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,2,0.4,same,0,0,0
contract_relevant,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,3,1,same,0,0,0
contract_relevant,VETERAN_MINIMUM_PLUS,HIGH_IMPACT_STARTER,2,0.666667,up,9,2,0
contract_relevant,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,1,0.333333,same,0,0,0
contract_relevant,MINIMUM_LEVEL,SOLID_STARTER,3,0.011111,up,8,3,0
contract_relevant,MINIMUM_LEVEL,HIGH_END_ROTATION,1,0.003704,up,7,1,0
contract_relevant,MINIMUM_LEVEL,LOW_END_STARTER,11,0.040741,up,6,11,0
contract_relevant,MINIMUM_LEVEL,SPECIALIST_ROTATION,5,0.018519,up,5,5,0
contract_relevant,MINIMUM_LEVEL,LOW_ROTATION_PLUS,32,0.118519,up,2,32,0
contract_relevant,MINIMUM_LEVEL,MINIMUM_LEVEL,218,0.807407,same,0,0,0
