pool,model,tier,count,tierMinCapPct,tierMidpointCapPct,tierMaxCapPct,totalImpliedMinCapPct,totalImpliedMidpointCapPct,totalImpliedMaxCapPct,impliedMidpointCapPctPer30Teams,deltaTotalMidpointCapPctVsCurrent
all_active,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
all_active,current,STAR_NEAR_MAX,19,25.705,27.458,29.211,488.404,521.703,555.001,17.39,0
all_active,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
all_active,current,LOW_END_STARTER,63,6,9,12,378,567,756,18.9,0
all_active,current,SPECIALIST_ROTATION,9,3.5,4.5,5.5,31.501,40.501,49.501,1.35,0
all_active,current,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
all_active,current,VETERAN_ROTATION_GUARD,14,4,5,6,56,70,84,2.333,0
all_active,current,LOW_ROTATION_PLUS,10,2,2.75,3.5,20,27.501,35.002,0.917,0
all_active,current,VETERAN_MINIMUM_PLUS,6,2.362,2.931,3.5,14.174,17.587,21.001,0.586,0
all_active,current,MINIMUM_LEVEL,460,1.796,1.931,2.066,826.169,888.171,950.173,29.606,0
all_active,current,__TOTAL__,634,3.75,4.397,5.044,2377.252,2787.461,3197.67,92.915,0
all_active,V3-1B,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
all_active,V3-1B,STAR_NEAR_MAX,19,25.705,27.458,29.211,488.404,521.703,555.001,17.39,0
all_active,V3-1B,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
all_active,V3-1B,SOLID_STARTER,43,12,14.5,17,516,623.507,731.014,20.784,623.507
all_active,V3-1B,LOW_END_STARTER,20,6,9,12,120,180,240,6,-387
all_active,V3-1B,SPECIALIST_ROTATION,9,3.5,4.5,5.5,31.501,40.501,49.501,1.35,0
all_active,V3-1B,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
all_active,V3-1B,VETERAN_ROTATION_GUARD,14,4,5,6,56,70,84,2.333,0
all_active,V3-1B,LOW_ROTATION_PLUS,10,2,2.75,3.5,20,27.501,35.002,0.917,0
all_active,V3-1B,VETERAN_MINIMUM_PLUS,6,2.362,2.931,3.5,14.174,17.587,21.001,0.586,0
all_active,V3-1B,MINIMUM_LEVEL,460,1.796,1.931,2.066,826.169,888.171,950.173,29.606,0
all_active,V3-1B,__TOTAL__,634,4.157,4.77,5.383,2635.252,3023.968,3412.683,100.799,236.507
rostered_active,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
rostered_active,current,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
rostered_active,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
rostered_active,current,LOW_END_STARTER,58,6,9,12,348,522,696,17.4,0
rostered_active,current,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
rostered_active,current,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
rostered_active,current,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
rostered_active,current,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
rostered_active,current,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
rostered_active,current,MINIMUM_LEVEL,298,1.804,1.94,2.075,537.659,578.008,618.356,19.267,0
rostered_active,current,__TOTAL__,460,4.327,5.122,5.917,1990.543,2356.198,2721.853,78.54,0
rostered_active,V3-1B,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
rostered_active,V3-1B,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
rostered_active,V3-1B,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
rostered_active,V3-1B,SOLID_STARTER,38,12,14.5,17,456,551.006,646.012,18.367,551.006
rostered_active,V3-1B,LOW_END_STARTER,20,6,9,12,120,180,240,6,-342
rostered_active,V3-1B,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
