section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
hard_floor,SOLID_STARTER,,,,,45,7.1%,passes eligibility + GP/MPG/value/production hard floor before required group checks
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,missing required value core,529,83.4%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,valueNoPot < 57,525,82.8%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,contractValue < 57,523,82.5%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,MPG < 26,490,77.3%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier MINIMUM_LEVEL not eligible,460,72.6%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,missing required role core,448,70.7%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,missing required production support,408,64.4%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,missing extra support,400,63.1%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,PER < 10 and BPM < -2,236,37.2%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,GP < 50,226,35.6%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,protected current young/star tier,46,7.3%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current YOUNG_UPSIDE_SUSPECT blocked in 1B,26,4.1%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier YOUNG_PROVEN_STARTER not eligible,24,3.8%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier STAR_NEAR_MAX not eligible,19,3.0%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier VETERAN_ROTATION_GUARD not eligible,10,1.6%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier LOW_ROTATION_PLUS not eligible,10,1.6%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier SPECIALIST_ROTATION not eligible,9,1.4%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier VETERAN_MINIMUM_PLUS not eligible,6,0.9%,
hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier SUPERSTAR_MAX not eligible,3,0.5%,
entrants_by_current_tier,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,,43,100.0%,
entrants_by_pool,SOLID_STARTER,all_active,,,,43,6.8%,
entrants_by_pool,SOLID_STARTER,rostered_active,,,,38,8.3%,
entrants_by_pool,SOLID_STARTER,top15_roster_proxy,,,,38,8.8%,
entrants_by_pool,SOLID_STARTER,contract_relevant,,,,12,3.7%,
entrant_signal_pass_count,SOLID_STARTER,,,,starter-like role: starterShare >= .45,43,100.0%,
entrant_signal_pass_count,SOLID_STARTER,,,,starter-like role: GS >= 30,43,100.0%,
entrant_signal_pass_count,SOLID_STARTER,,,,very high minutes: MPG >= 29,30,69.8%,
entrant_signal_pass_count,SOLID_STARTER,,,,value core: valueNoPot >= 57 and contractValue >= 57,43,100.0%,
entrant_signal_pass_count,SOLID_STARTER,,,,production: EWA >= 3,39,90.7%,
entrant_signal_pass_count,SOLID_STARTER,,,,production: VORP >= .5,42,97.7%,
entrant_signal_pass_count,SOLID_STARTER,,,,production: BPM >= 0,33,76.7%,
entrant_signal_pass_count,SOLID_STARTER,,,,production: PER >= 14,41,95.3%,
entrant_signal_pass_count,SOLID_STARTER,,,,extra: BPM >= 1,26,60.5%,
entrant_signal_pass_count,SOLID_STARTER,,,,extra: EWA >= 5,22,51.2%,
entrant_signal_pass_count,SOLID_STARTER,,,,extra: VORP >= 1,33,76.7%,
entrant_signal_pass_count,SOLID_STARTER,,,,extra: PER >= 16,33,76.7%,
entrant_signal_pass_count,SOLID_STARTER,,,,extra: defense/rebounding/connector support,12,27.9%,
entrant_signal_pass_count,SOLID_STARTER,,,,extra: shooting/spacing support,7,16.3%,
entrant_signal_pass_count,SOLID_STARTER,,,,extra: age <= 27 with value/pot support,17,39.5%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: BPM >= 0; production: PER >= 14; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support,6,14.0%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: BPM >= 0; production: PER >= 14; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16,5,11.6%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: BPM >= 0; production: PER >= 14; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: shooting/spacing support,2,4.7%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: BPM >= 0; production: PER >= 14; extra: BPM >= 1; extra: VORP >= 1; extra: PER >= 16; extra: age <= 27 with value/pot support,2,4.7%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: VORP >= .5; production: PER >= 14; extra: age <= 27 with value/pot support,2,4.7%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: PER >= 14; extra: PER >= 16; extra: age <= 27 with value/pot support,2,4.7%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: BPM >= 0; production: PER >= 14; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: age <= 27 with value/pot support,2,4.7%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: BPM >= 0; production: PER >= 14; extra: BPM >= 1; extra: VORP >= 1; extra: defense/rebounding/connector support; extra: shooting/spacing support,1,2.3%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: BPM >= 0; production: PER >= 14; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support,1,2.3%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: BPM >= 0; production: PER >= 14; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support; extra: shooting/spacing support,1,2.3%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: PER >= 14; extra: EWA >= 5; extra: PER >= 16; extra: defense/rebounding/connector support,1,2.3%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; very high minutes: MPG >= 29; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: BPM >= 0; production: PER >= 14; extra: VORP >= 1,1,2.3%,
signal_combination,SOLID_STARTER,,,,starter-like role: starterShare >= .45; starter-like role: GS >= 30; value core: valueNoPot >= 57 and contractValue >= 57; production: EWA >= 3; production: VORP >= .5; production: BPM >= 0; production: PER >= 14; extra: BPM >= 1; extra: VORP >= 1; extra: PER >= 16,1,2.3%,
