pool,currentTier,candidateTier,count,percentageOfCurrentTier,percentageOfCurrentTierText,moveDirection,moveSteps,focusTransition
all_active,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
all_active,STAR_NEAR_MAX,STAR_NEAR_MAX,19,1,100.0%,same,0,no
all_active,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
all_active,LOW_END_STARTER,SOLID_STARTER,43,0.68254,68.3%,up,1,yes
all_active,LOW_END_STARTER,LOW_END_STARTER,20,0.31746,31.7%,same,0,no
all_active,SPECIALIST_ROTATION,SPECIALIST_ROTATION,9,1,100.0%,same,0,no
all_active,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,26,1,100.0%,same,0,no
all_active,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,14,1,100.0%,same,0,no
all_active,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,10,1,100.0%,same,0,no
all_active,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,6,1,100.0%,same,0,no
all_active,MINIMUM_LEVEL,MINIMUM_LEVEL,460,1,100.0%,same,0,no
rostered_active,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
rostered_active,STAR_NEAR_MAX,STAR_NEAR_MAX,17,1,100.0%,same,0,no
rostered_active,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
rostered_active,LOW_END_STARTER,SOLID_STARTER,38,0.655172,65.5%,up,1,yes
rostered_active,LOW_END_STARTER,LOW_END_STARTER,20,0.344828,34.5%,same,0,no
rostered_active,SPECIALIST_ROTATION,SPECIALIST_ROTATION,7,1,100.0%,same,0,no
rostered_active,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,26,1,100.0%,same,0,no
rostered_active,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,13,1,100.0%,same,0,no
rostered_active,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,9,1,100.0%,same,0,no
rostered_active,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,5,1,100.0%,same,0,no
rostered_active,MINIMUM_LEVEL,MINIMUM_LEVEL,298,1,100.0%,same,0,no
top15_roster_proxy,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
top15_roster_proxy,STAR_NEAR_MAX,STAR_NEAR_MAX,17,1,100.0%,same,0,no
top15_roster_proxy,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
top15_roster_proxy,LOW_END_STARTER,SOLID_STARTER,38,0.655172,65.5%,up,1,yes
top15_roster_proxy,LOW_END_STARTER,LOW_END_STARTER,20,0.344828,34.5%,same,0,no
top15_roster_proxy,SPECIALIST_ROTATION,SPECIALIST_ROTATION,7,1,100.0%,same,0,no
top15_roster_proxy,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,25,1,100.0%,same,0,no
top15_roster_proxy,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,13,1,100.0%,same,0,no
top15_roster_proxy,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,9,1,100.0%,same,0,no
top15_roster_proxy,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,5,1,100.0%,same,0,no
top15_roster_proxy,MINIMUM_LEVEL,MINIMUM_LEVEL,270,1,100.0%,same,0,no
contract_relevant,STAR_NEAR_MAX,STAR_NEAR_MAX,5,1,100.0%,same,0,no
contract_relevant,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,7,1,100.0%,same,0,no
contract_relevant,LOW_END_STARTER,SOLID_STARTER,12,0.666667,66.7%,up,1,yes
contract_relevant,LOW_END_STARTER,LOW_END_STARTER,6,0.333333,33.3%,same,0,no
contract_relevant,SPECIALIST_ROTATION,SPECIALIST_ROTATION,6,1,100.0%,same,0,no
contract_relevant,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,5,1,100.0%,same,0,no
contract_relevant,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,5,1,100.0%,same,0,no
contract_relevant,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,3,1,100.0%,same,0,no
contract_relevant,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,3,1,100.0%,same,0,no
contract_relevant,MINIMUM_LEVEL,MINIMUM_LEVEL,270,1,100.0%,same,0,no
