variant,pool,model,tier,count,tierMinCapPct,tierMidpointCapPct,tierMaxCapPct,totalImpliedMinCapPct,totalImpliedMidpointCapPct,totalImpliedMaxCapPct,impliedMidpointCapPctPer30Teams,deltaTotalMidpointCapPctVsCurrent
A,all_active,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
A,all_active,current,STAR_NEAR_MAX,19,25.705,27.458,29.211,488.404,521.703,555.001,17.39,0
A,all_active,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
A,all_active,current,LOW_END_STARTER,63,6,9,12,378,567,756,18.9,0
A,all_active,current,SPECIALIST_ROTATION,9,3.5,4.5,5.5,31.501,40.501,49.501,1.35,0
A,all_active,current,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
A,all_active,current,VETERAN_ROTATION_GUARD,14,4,5,6,56,70,84,2.333,0
A,all_active,current,LOW_ROTATION_PLUS,10,2,2.75,3.5,20,27.501,35.002,0.917,0
A,all_active,current,VETERAN_MINIMUM_PLUS,6,2.362,2.931,3.5,14.174,17.587,21.001,0.586,0
A,all_active,current,MINIMUM_LEVEL,460,1.796,1.931,2.066,826.169,888.171,950.173,29.606,0
A,all_active,current,__TOTAL__,634,3.75,4.397,5.044,2377.252,2787.461,3197.67,92.915,0
A,all_active,A,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
A,all_active,A,STAR_NEAR_MAX,19,25.705,27.458,29.211,488.404,521.703,555.001,17.39,0
A,all_active,A,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
A,all_active,A,SOLID_STARTER,19,12,14.5,17,228,275.503,323.006,9.183,275.503
A,all_active,A,LOW_END_STARTER,44,6,9,12,264,396,528,13.2,-171
A,all_active,A,SPECIALIST_ROTATION,9,3.5,4.5,5.5,31.501,40.501,49.501,1.35,0
A,all_active,A,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
A,all_active,A,VETERAN_ROTATION_GUARD,14,4,5,6,56,70,84,2.333,0
A,all_active,A,LOW_ROTATION_PLUS,10,2,2.75,3.5,20,27.501,35.002,0.917,0
