variant,pool,model,tier,count,percentage,percentageText,avgAge,avgMPG,avgValue,avgValueNoPot,avgGetContractValue,avgPER,avgEWA,avgVORP,avgBPM
A,all_active,current,SUPERSTAR_MAX,3,0.004732,0.5%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
A,all_active,current,STAR_NEAR_MAX,19,0.029968,3.0%,25.737,35.837,68.416,68.255,68.317,24.252,12.848,5.901,7.672
A,all_active,current,YOUNG_PROVEN_STARTER,24,0.037855,3.8%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
A,all_active,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
A,all_active,current,LOW_END_STARTER,63,0.099369,9.9%,28.444,30.014,57.342,59.17,58.957,16.855,5.019,1.916,1.597
A,all_active,current,SPECIALIST_ROTATION,9,0.014196,1.4%,27,19.12,53.219,53.815,53.736,13.711,1.864,0.608,-0.704
A,all_active,current,YOUNG_UPSIDE_SUSPECT,26,0.041009,4.1%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
A,all_active,current,VETERAN_ROTATION_GUARD,14,0.022082,2.2%,30.643,25.325,52.529,56.291,55.794,17.041,3.6,1.859,3.105
A,all_active,current,LOW_ROTATION_PLUS,10,0.015773,1.6%,25.1,10.615,53.6,52.594,52.862,14.659,1.081,0.248,-0.614
A,all_active,current,VETERAN_MINIMUM_PLUS,6,0.009464,0.9%,32.167,20.423,51.537,55.905,55.381,15.305,2.305,0.505,-0.532
A,all_active,current,MINIMUM_LEVEL,460,0.725552,72.6%,26.222,10.697,46.806,45.442,45.967,8.808,0.159,-0.143,-4.448
A,all_active,A,SUPERSTAR_MAX,3,0.004732,0.5%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
A,all_active,A,STAR_NEAR_MAX,19,0.029968,3.0%,25.737,35.837,68.416,68.255,68.317,24.252,12.848,5.901,7.672
A,all_active,A,YOUNG_PROVEN_STARTER,24,0.037855,3.8%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
A,all_active,A,SOLID_STARTER,19,0.029968,3.0%,29.474,32.47,58.627,62.143,61.638,19.415,7.684,3.429,4.032
A,all_active,A,LOW_END_STARTER,44,0.069401,6.9%,28,28.953,56.787,57.886,57.799,15.75,3.868,1.262,0.545
A,all_active,A,SPECIALIST_ROTATION,9,0.014196,1.4%,27,19.12,53.219,53.815,53.736,13.711,1.864,0.608,-0.704
A,all_active,A,YOUNG_UPSIDE_SUSPECT,26,0.041009,4.1%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
A,all_active,A,VETERAN_ROTATION_GUARD,14,0.022082,2.2%,30.643,25.325,52.529,56.291,55.794,17.041,3.6,1.859,3.105
A,all_active,A,LOW_ROTATION_PLUS,10,0.015773,1.6%,25.1,10.615,53.6,52.594,52.862,14.659,1.081,0.248,-0.614
A,all_active,A,VETERAN_MINIMUM_PLUS,6,0.009464,0.9%,32.167,20.423,51.537,55.905,55.381,15.305,2.305,0.505,-0.532
A,all_active,A,MINIMUM_LEVEL,460,0.725552,72.6%,26.222,10.697,46.806,45.442,45.967,8.808,0.159,-0.143,-4.448
A,rostered_active,current,SUPERSTAR_MAX,3,0.006522,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
A,rostered_active,current,STAR_NEAR_MAX,17,0.036957,3.7%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
A,rostered_active,current,YOUNG_PROVEN_STARTER,24,0.052174,5.2%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
A,rostered_active,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
A,rostered_active,current,LOW_END_STARTER,58,0.126087,12.6%,28.552,29.953,57.208,59.047,58.834,16.784,4.954,1.856,1.487
A,rostered_active,current,SPECIALIST_ROTATION,7,0.015217,1.5%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
A,rostered_active,current,YOUNG_UPSIDE_SUSPECT,26,0.056522,5.7%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
A,rostered_active,current,VETERAN_ROTATION_GUARD,13,0.028261,2.8%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
A,rostered_active,current,LOW_ROTATION_PLUS,9,0.019565,2.0%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
A,rostered_active,current,VETERAN_MINIMUM_PLUS,5,0.01087,1.1%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
A,rostered_active,current,MINIMUM_LEVEL,298,0.647826,64.8%,26.138,12.954,49.796,48.518,49.015,10.352,0.313,-0.153,-3.86
A,rostered_active,A,SUPERSTAR_MAX,3,0.006522,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
A,rostered_active,A,STAR_NEAR_MAX,17,0.036957,3.7%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
A,rostered_active,A,YOUNG_PROVEN_STARTER,24,0.052174,5.2%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
A,rostered_active,A,SOLID_STARTER,17,0.036957,3.7%,29.529,32.327,58.476,61.956,61.445,19.432,7.648,3.337,3.894
A,rostered_active,A,LOW_END_STARTER,41,0.08913,8.9%,28.146,28.969,56.683,57.841,57.752,15.686,3.837,1.241,0.49
A,rostered_active,A,SPECIALIST_ROTATION,7,0.015217,1.5%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
A,rostered_active,A,YOUNG_UPSIDE_SUSPECT,26,0.056522,5.7%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
A,rostered_active,A,VETERAN_ROTATION_GUARD,13,0.028261,2.8%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
A,rostered_active,A,LOW_ROTATION_PLUS,9,0.019565,2.0%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
A,rostered_active,A,VETERAN_MINIMUM_PLUS,5,0.01087,1.1%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
A,rostered_active,A,MINIMUM_LEVEL,298,0.647826,64.8%,26.138,12.954,49.796,48.518,49.015,10.352,0.313,-0.153,-3.86
A,top15_roster_proxy,current,SUPERSTAR_MAX,3,0.006961,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
A,top15_roster_proxy,current,STAR_NEAR_MAX,17,0.039443,3.9%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
