variant,section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
A,hard_floor,SOLID_STARTER,,,,,25,3.9%,passes current LOW_END_STARTER eligibility + GP/MPG/value hard floor
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,valueNoPot < 59,551,86.9%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,contractValue < 59,549,86.6%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,MPG < 28,517,81.5%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,production core count < 2,488,77.0%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,BPM < 0 without exception path,474,74.8%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,missing role core,464,73.2%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier MINIMUM_LEVEL blocked,460,72.6%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,missing extra support,393,62.0%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,GP < 55,249,39.3%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier YOUNG_UPSIDE_SUSPECT blocked,26,4.1%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier YOUNG_PROVEN_STARTER blocked,24,3.8%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier STAR_NEAR_MAX blocked,19,3.0%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier VETERAN_ROTATION_GUARD blocked,14,2.2%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier LOW_ROTATION_PLUS blocked,10,1.6%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier SPECIALIST_ROTATION blocked,9,1.4%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier VETERAN_MINIMUM_PLUS blocked,6,0.9%,
A,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier SUPERSTAR_MAX blocked,3,0.5%,
A,entrants_by_pool,SOLID_STARTER,all_active,,,,19,3.0%,
A,entrants_by_pool,SOLID_STARTER,rostered_active,,,,17,3.7%,
A,entrants_by_pool,SOLID_STARTER,top15_roster_proxy,,,,17,3.9%,
A,entrants_by_pool,SOLID_STARTER,contract_relevant,,,,5,1.6%,
A,focus_transition_count,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,,19,30.2%,19 of 63 current LOW_END_STARTER
A,focus_transition_count,SOLID_STARTER,,MINIMUM_LEVEL,SOLID_STARTER,,0,0.0%,0 of 460 current MINIMUM_LEVEL
A,focus_transition_count,SOLID_STARTER,,LOW_ROTATION_PLUS,SOLID_STARTER,,0,0.0%,0 of 10 current LOW_ROTATION_PLUS
A,focus_transition_count,SOLID_STARTER,,YOUNG_UPSIDE_SUSPECT,SOLID_STARTER,,0,0.0%,0 of 26 current YOUNG_UPSIDE_SUSPECT
A,focus_transition_count,SOLID_STARTER,,VETERAN_ROTATION_GUARD,SOLID_STARTER,,0,0.0%,0 of 14 current VETERAN_ROTATION_GUARD
A,focus_transition_count,SOLID_STARTER,,YOUNG_PROVEN_STARTER,SOLID_STARTER,,0,0.0%,0 of 24 current YOUNG_PROVEN_STARTER
