variant,pool,currentTier,candidateTier,count,percentageOfCurrentTier,percentageOfCurrentTierText,moveDirection,moveSteps,focusTransition
A,all_active,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
A,all_active,STAR_NEAR_MAX,STAR_NEAR_MAX,19,1,100.0%,same,0,no
A,all_active,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
A,all_active,LOW_END_STARTER,SOLID_STARTER,19,0.301587,30.2%,up,1,yes
A,all_active,LOW_END_STARTER,LOW_END_STARTER,44,0.698413,69.8%,same,0,no
A,all_active,SPECIALIST_ROTATION,SPECIALIST_ROTATION,9,1,100.0%,same,0,no
A,all_active,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,26,1,100.0%,same,0,no
A,all_active,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,14,1,100.0%,same,0,no
A,all_active,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,10,1,100.0%,same,0,no
A,all_active,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,6,1,100.0%,same,0,no
A,all_active,MINIMUM_LEVEL,MINIMUM_LEVEL,460,1,100.0%,same,0,no
A,rostered_active,SUPERSTAR_MAX,SUPERSTAR_MAX,3,1,100.0%,same,0,no
A,rostered_active,STAR_NEAR_MAX,STAR_NEAR_MAX,17,1,100.0%,same,0,no
A,rostered_active,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,24,1,100.0%,same,0,no
A,rostered_active,LOW_END_STARTER,SOLID_STARTER,17,0.293103,29.3%,up,1,yes
A,rostered_active,LOW_END_STARTER,LOW_END_STARTER,41,0.706897,70.7%,same,0,no
A,rostered_active,SPECIALIST_ROTATION,SPECIALIST_ROTATION,7,1,100.0%,same,0,no
A,rostered_active,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,26,1,100.0%,same,0,no
A,rostered_active,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,13,1,100.0%,same,0,no
A,rostered_active,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,9,1,100.0%,same,0,no
A,rostered_active,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,5,1,100.0%,same,0,no
