section,lane,pool,currentTier,combinedTier,caseId,dataset,name,signalOrCombination,count,percentage,notes
module_entrant_count,1A,,,,,,,,33,5.2%,
entrants_by_current_tier,1A,,VETERAN_ROTATION_GUARD,HIGH_END_ROTATION,,,,,10,30.3%,
entrants_by_current_tier,1A,,VETERAN_MINIMUM_PLUS,HIGH_END_ROTATION,,,,,3,9.1%,
entrants_by_current_tier,1A,,SPECIALIST_ROTATION,HIGH_END_ROTATION,,,,,3,9.1%,
entrants_by_current_tier,1A,,MINIMUM_LEVEL,HIGH_END_ROTATION,,,,,6,18.2%,
entrants_by_current_tier,1A,,YOUNG_UPSIDE_SUSPECT,HIGH_END_ROTATION,,,,,11,33.3%,
entrants_by_pool,1A,all_active,,,,,,,33,5.2%,
entrants_by_pool,1A,rostered_active,,,,,,,32,7.0%,
entrants_by_pool,1A,top15_roster_proxy,,,,,,,32,7.4%,
entrants_by_pool,1A,contract_relevant,,,,,,,10,3.1%,
bpm_bucket,1A,,,,,,,BPM >= 1,15,45.5%,
bpm_bucket,1A,,,,,,,BPM < -1,5,15.2%,
bpm_bucket,1A,,,,,,,0 <= BPM < 1,8,24.2%,
bpm_bucket,1A,,,,,,,-1 <= BPM < 0,5,15.2%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; creator/scorer core; production support: EWA/VORP/BPM/PER,5,15.2%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; young productive core; connector/defense core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,3,9.1%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; creator/scorer core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,2,6.1%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; creator/scorer core; portable shooting core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,2,6.1%,
signal_combination,1A,,,,,,,real role fallback: MPG >= 22; creator/scorer core; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,2,6.1%,
signal_combination,1A,,,,,,,real role fallback: GP >= 55 and MPG >= 20; portable shooting core; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,2,6.1%,
signal_combination,1A,,,,,,,real role fallback: MPG >= 22; creator/scorer core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,real role fallback: GP >= 55 and MPG >= 20; connector/defense core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; portable shooting core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,real role fallback: GP >= 55 and MPG >= 20; creator/scorer core; portable shooting core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; connector/defense core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,real role fallback: MPG >= 22; creator/scorer core; connector/defense core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; young productive core; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,real role fallback: MPG >= 22; young productive core; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55,1,3.0%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; creator/scorer core; value support: valueNoPot >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,real role fallback: GP >= 55 and MPG >= 20; portable shooting core; young productive core; value support: contractValue >= 55,1,3.0%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; portable shooting core; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; creator/scorer core; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; real role fallback: GP >= 55 and MPG >= 20; young productive core; value support: contractValue >= 55,1,3.0%,
signal_combination,1A,,,,,,,real role fallback: MPG >= 22; creator/scorer core; portable shooting core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,real role fallback: MPG >= 22; portable shooting core; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
signal_combination,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
entrant_signal_pass_count,1A,,,,,,,strong rotation role: GP >= 50 and MPG >= 22,21,63.6%,
entrant_signal_pass_count,1A,,,,,,,real role fallback: MPG >= 22,28,84.8%,
entrant_signal_pass_count,1A,,,,,,,real role fallback: GP >= 55 and MPG >= 20,25,75.8%,
entrant_signal_pass_count,1A,,,,,,,creator/scorer core,17,51.5%,
entrant_signal_pass_count,1A,,,,,,,portable shooting core,10,30.3%,
entrant_signal_pass_count,1A,,,,,,,young productive core,15,45.5%,
entrant_signal_pass_count,1A,,,,,,,connector/defense core,6,18.2%,
entrant_signal_pass_count,1A,,,,,,,value support: valueNoPot >= 55,23,69.7%,
entrant_signal_pass_count,1A,,,,,,,value support: contractValue >= 55,25,75.8%,
entrant_signal_pass_count,1A,,,,,,,production support: EWA/VORP/BPM/PER,30,90.9%,
module_entrant_count,1B-B,,,,,,,,17,2.7%,
entrants_by_current_tier,1B-B,,LOW_END_STARTER,SOLID_STARTER,,,,,17,100.0%,
entrants_by_pool,1B-B,all_active,,,,,,,17,2.7%,
entrants_by_pool,1B-B,rostered_active,,,,,,,15,3.3%,
entrants_by_pool,1B-B,top15_roster_proxy,,,,,,,15,3.5%,
entrants_by_pool,1B-B,contract_relevant,,,,,,,5,1.6%,
bpm_bucket,1B-B,,,,,,,BPM >= 1,16,94.1%,
bpm_bucket,1B-B,,,,,,,0 <= BPM < 1,1,5.9%,
