dataset,caseId,globalCaseId,name,bucket,currentTier,combinedTier,responsibleModule,humanRangeText,tierRangeText,tierRangeMinM,tierRangeMaxM,currentPointM,combinedPointM,pointLocationInsideTierRange,currentGapM,combinedGapM,missType,humanVsTierRange,decomposition,nearBoundary,combinedSevere,combinedDirection
boundary40,D-01,B40-13,Simisola Shittu,good_rotation_specialist,MINIMUM_LEVEL,MINIMUM_LEVEL,none,$3.00M-$5.00M,$2.94M-$3.38M,2.94,3.381,3.13,3.12,0.4082,0,0,inside,human_range_overlaps_tier_range,inside,no,no,inside
boundary40,D-02,B40-14,Jordan Poole,good_rotation_specialist,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,none,$6.00M-$10.00M,$3.09M-$5.41M,3.093,5.413,4.12,4.12,0.4427,1.88,1.88,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
boundary40,D-03,B40-15,Jaylen Wells,good_rotation_specialist,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,none,$8.00M-$14.00M,$3.87M-$6.96M,3.866,6.959,5.22,5.19,0.4281,2.78,2.81,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
boundary40,D-04,B40-16,Keegan Murray,good_rotation_specialist,SPECIALIST_ROTATION,SPECIALIST_ROTATION,none,$4.00M-$8.00M,$5.41M-$8.51M,5.413,8.506,6.49,6.48,0.345,0,0,inside,human_range_overlaps_tier_range,inside,no,no,inside
boundary40,E-01,B40-17,Yogi Ferrell,high_end_rotation_sixth_man,VETERAN_ROTATION_GUARD,HIGH_END_ROTATION,1A,$8.00M-$12.00M,$10.83M-$18.56M,10.826,18.558,7.77,14.82,0.5166,0.23,2.82,too_high,human_range_overlaps_tier_range,human_range_overlaps_tier_range_but_point_misses -> placement issue,no,no,too_high
boundary40,E-02,B40-18,Nikola Jović,high_end_rotation_sixth_man,YOUNG_UPSIDE_SUSPECT,HIGH_END_ROTATION,1A,$20.00M-$30.00M,$10.83M-$18.56M,10.826,18.558,5.73,15.45,0.598,14.27,4.55,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
boundary40,E-03,B40-19,Malik Beasley,high_end_rotation_sixth_man,MINIMUM_LEVEL,MINIMUM_LEVEL,none,$6.00M-$10.00M,$3.37M-$3.88M,3.37,3.875,3.63,3.63,0.5149,2.37,2.37,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
boundary40,E-04,B40-20,Julian Strawther,high_end_rotation_sixth_man,YOUNG_UPSIDE_SUSPECT,HIGH_END_ROTATION,1A,$12.00M-$18.00M,$10.83M-$18.56M,10.826,18.558,5.6,15.15,0.5592,6.4,0,inside,human_range_overlaps_tier_range,inside,no,no,inside
boundary40,F-01,B40-21,Shaedon Sharpe,low_end_starter,LOW_END_STARTER,LOW_END_STARTER,none,$20.00M-$30.00M,$9.28M-$18.56M,9.279,18.558,15.02,14.85,0.6004,4.98,5.15,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
boundary40,F-02,B40-22,Mfiondu Kabengele,low_end_starter,LOW_END_STARTER,LOW_END_STARTER,none,$10.00M-$16.00M,$9.28M-$18.56M,9.279,18.558,15.4,15.32,0.651,0,0,inside,human_range_overlaps_tier_range,inside,no,no,inside
boundary40,F-03,B40-23,Isaac Okoro,low_end_starter,LOW_END_STARTER,LOW_END_STARTER,none,$15.00M-$20.00M,$9.28M-$18.56M,9.279,18.558,14.43,14.26,0.5368,0.57,0.74,near_boundary_minor_miss,human_range_overlaps_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
boundary40,F-04,B40-24,Kentavious Caldwell-Pope,low_end_starter,LOW_END_STARTER,LOW_END_STARTER,none,$6.00M-$12.00M,$9.28M-$18.56M,9.279,18.558,14.22,14.22,0.5325,2.22,2.22,too_high,human_range_overlaps_tier_range,human_range_overlaps_tier_range_but_point_misses -> placement issue,no,no,too_high
boundary40,G-01,B40-25,Jordan Bell,solid_starter,LOW_END_STARTER,LOW_END_STARTER,none,$12.00M-$20.00M,$9.28M-$18.56M,9.279,18.558,15.85,15.8,0.7028,0,0,inside,human_range_overlaps_tier_range,inside,no,no,inside
boundary40,G-02,B40-26,Isaiah Stewart,solid_starter,LOW_END_STARTER,LOW_END_STARTER,none,$20.00M-$25.00M,$9.28M-$18.56M,9.279,18.558,15.62,15.46,0.6661,4.38,4.54,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
boundary40,G-03,B40-27,OG Anunoby,solid_starter,LOW_END_STARTER,SOLID_STARTER,1B-B,$12.00M-$18.00M,$18.56M-$26.29M,18.558,26.291,16.03,24.17,0.7257,0,6.17,too_high,human_range_below_tier_range,human_range_below_tier_range -> likely range too high or tier too high,no,no,too_high
boundary40,G-04,B40-28,Džanan Musa,solid_starter,MINIMUM_LEVEL,HIGH_END_ROTATION,1A,$12.00M-$18.00M,$10.83M-$18.56M,10.826,18.558,3.44,15.51,0.6058,8.56,0,inside,human_range_overlaps_tier_range,inside,no,no,inside
boundary40,H-01,B40-29,Kevin Knox,good_high_starter,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,none,$25.00M-$35.00M,$26.29M-$34.80M,26.291,34.796,33.02,32.97,0.7853,0,0,inside,human_range_overlaps_tier_range,inside,no,no,inside
boundary40,H-02,B40-30,Ben Simmons,good_high_starter,LOW_END_STARTER,SOLID_STARTER,1B-B,$30.00M-$35.00M,$18.56M-$26.29M,18.558,26.291,17.03,24.99,0.8318,12.97,5.01,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
boundary40,H-03,B40-31,LaMelo Ball,good_high_starter,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,none,$35.00M-$40.00M,$26.29M-$34.80M,26.291,34.796,33.66,33.72,0.8735,1.34,1.28,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
boundary40,H-04,B40-32,Kai Jones,good_high_starter,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,none,$35.00M-$40.00M,$26.29M-$34.80M,26.291,34.796,33.3,33.22,0.8147,1.7,1.78,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
boundary40,I-01,B40-33,Saben Lee,star_near_max,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$46.40M,$40.83M-$46.40M,40.828,46.395,45.52,45.65,0.8662,0.88,0.75,near_boundary_minor_miss,human_range_above_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
boundary40,I-02,B40-34,Josh Giddey,star_near_max,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$38.66M,$34.02M-$38.66M,34.023,38.663,38.08,38.08,0.8744,0.58,0.58,near_boundary_minor_miss,human_range_overlaps_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
boundary40,I-03,B40-35,Patrick Williams,star_near_max,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$46.40M,$40.83M-$46.40M,40.828,46.395,45.66,45.6,0.8572,0.74,0.8,near_boundary_minor_miss,human_range_above_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
boundary40,I-04,B40-36,Trae Young,star_near_max,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$44.00M-$46.40M,$40.83M-$46.40M,40.828,46.395,45.59,45.55,0.8482,0,0,inside,human_range_overlaps_tier_range,inside,no,no,inside
boundary40,J-01,B40-37,Justin Champagnie,superstar_max_lock,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$46.40M,$40.83M-$46.40M,40.828,46.395,45.73,45.8,0.8931,0.67,0.6,near_boundary_minor_miss,human_range_above_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
boundary40,J-02,B40-38,Scottie Barnes,superstar_max_lock,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$46.40M,$40.83M-$46.40M,40.828,46.395,45.77,45.73,0.8805,0.63,0.67,near_boundary_minor_miss,human_range_above_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
boundary40,J-03,B40-39,Joshua Primo,superstar_max_lock,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$46.40M,$40.83M-$46.40M,40.828,46.395,45.77,45.82,0.8967,0.63,0.58,near_boundary_minor_miss,human_range_above_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
boundary40,J-04,B40-40,Luka Dončić,superstar_max_lock,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$46.40M,$40.83M-$46.40M,40.828,46.395,45.67,45.65,0.8662,0.73,0.75,near_boundary_minor_miss,human_range_above_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
validation20,V20-01,,Zion Williamson,max_near_max_high_star,SUPERSTAR_MAX,SUPERSTAR_MAX,none,$46.40M,$46.40M,46.395,46.395,46.4,46.4,1,0,0,inside,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,inside
validation20,V20-02,,Jaden Springer,max_near_max_high_star,SUPERSTAR_MAX,SUPERSTAR_MAX,none,$46.40M,$46.40M,46.395,46.395,46.4,46.4,1,0,0,inside,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,inside
validation20,V20-03,,Marvin Bagley III,max_near_max_high_star,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$46.40M,$40.83M-$46.40M,40.828,46.395,45.59,45.59,0.8554,0.81,0.81,near_boundary_minor_miss,human_range_above_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
validation20,V20-04,,Zhaire Smith,max_near_max_high_star,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$46.40M,$40.83M-$46.40M,40.828,46.395,45.68,45.68,0.8716,0.72,0.72,near_boundary_minor_miss,human_range_above_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
validation20,V20-05,,Jeremy Sochan,young_proven_young_starter,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,none,$33.46M,$26.29M-$34.80M,26.291,34.796,32.98,32.98,0.7865,0.48,0.48,near_boundary_minor_miss,human_range_overlaps_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
