tid,teamAbbrev,teamName,totalDeltaPctCap,deltaFrom1A,deltaFrom1B_B,deltaFromOther,topDeltaPlayers,acceptableRead
24,MIA,Miami Heat,24.171,18.965,5.205,0,"Dereck Lively II (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.96->16.05, +6.52% cap); Nikola Jović (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.72->15.45, +6.29% cap); Stephon Castle (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.57->15.08, +6.15% cap)",review module concentration before implementation
17,UTA,Utah Jazz,19.011,13.734,5.276,0,"Jakob Poeltl (VETERAN_MINIMUM_PLUS->HIGH_END_ROTATION, 4.7->15.87, +7.22% cap); Nick Smith Jr. (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.95->16.02, +6.51% cap); OG Anunoby (LOW_END_STARTER->SOLID_STARTER, 16.01->24.17, +5.28% cap)",review module concentration before implementation
14,LAC,Los Angeles Clippers,18.526,18.526,0,0,"Victor Oladipo (MINIMUM_LEVEL->HIGH_END_ROTATION, 3.96->14.33, +6.71% cap); Julian Strawther (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.6->15.15, +6.18% cap); Georgios Kalaitzakis (SPECIALIST_ROTATION->HIGH_END_ROTATION, 7.63->16.36, +5.65% cap)",review module concentration before implementation
11,HOU,Houston Rockets,18.105,18.105,0,0,"Kristaps Porziņģis (VETERAN_MINIMUM_PLUS->HIGH_END_ROTATION, 4.64->15.05, +6.73% cap); Brandon Miller (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.57->15.08, +6.15% cap); AJ Griffin (SPECIALIST_ROTATION->HIGH_END_ROTATION, 7.19->15.27, +5.22% cap)",review module concentration before implementation
4,LAL,Los Angeles Lakers,17.873,12.667,5.205,0,"Džanan Musa (MINIMUM_LEVEL->HIGH_END_ROTATION, 3.43->15.51, +7.81% cap); Giannis Antetokounmpo (LOW_END_STARTER->SOLID_STARTER, 16.62->24.67, +5.21% cap); Jared Harper (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 8.1->15.61, +4.86% cap)",review module concentration before implementation
6,PHI,Philadelphia 76ers,16.437,11.115,5.322,0,"Jalen Duren (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.99->16.14, +6.56% cap); Markelle Fultz (LOW_END_STARTER->SOLID_STARTER, 15.52->23.75, +5.32% cap); Yogi Ferrell (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 7.78->14.82, +4.55% cap)",review module concentration before implementation
5,DET,Detroit Pistons,16.314,11.102,5.212,0,"Amen Thompson (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.7->15.4, +6.27% cap); Henry Ellenson (LOW_END_STARTER->SOLID_STARTER, 16.6->24.66, +5.21% cap); D'Angelo Russell (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 8.07->15.54, +4.83% cap)",review module concentration before implementation
12,MIL,Milwaukee Bucks,15.092,15.092,0,0,"Yves Missi (MINIMUM_LEVEL->HIGH_END_ROTATION, 2.3->16.01, +8.87% cap); Moussa Diabaté (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.65->15.28, +6.23% cap); Marvin Bagley III (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.59->45.59, +0% cap)",review module concentration before implementation
9,CHI,Chicago Bulls,13.76,8.522,5.238,0,"RJ Barrett (MINIMUM_LEVEL->HIGH_END_ROTATION, 3.26->16.44, +8.52% cap); Jerian Grant (LOW_END_STARTER->SOLID_STARTER, 16.36->24.46, +5.24% cap); Khris Middleton (LOW_END_STARTER->LOW_END_STARTER, 14.72->14.72, +0% cap)",review module concentration before implementation
3,SAC,Sacramento Kings,13.269,8.005,5.263,0,"Jalen Johnson (MINIMUM_LEVEL->HIGH_END_ROTATION, 2.72->15.1, +8.01% cap); De'Aaron Fox (LOW_END_STARTER->SOLID_STARTER, 16.12->24.26, +5.26% cap); Ja Morant (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.43->45.43, +0% cap)",review module concentration before implementation
27,TOR,Toronto Raptors,10.197,4.966,5.231,0,"James Harden (LOW_END_STARTER->SOLID_STARTER, 16.45->24.54, +5.23% cap); Fred VanVleet (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 8.21->15.89, +4.97% cap); Dalano Banton (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 33.03->33.03, +0% cap)",likely acceptable diagnostic delta
13,PHO,Phoenix Suns,10.042,10.042,0,0,"Devin Booker (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 8.33->16.18, +5.08% cap); Allen Crabbe (SPECIALIST_ROTATION->HIGH_END_ROTATION, 6.93->14.61, +4.97% cap); Kevin Knox (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.97->32.97, +0% cap)",likely acceptable diagnostic delta
23,NOL,New Orleans Pelicans,9.952,4.61,5.341,0,"Anthony Davis (LOW_END_STARTER->SOLID_STARTER, 15.4->23.66, +5.34% cap); Aaron Holiday (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 7.84->14.97, +4.61% cap); Luka Dončić (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.65->45.65, +0% cap)",likely acceptable diagnostic delta
