tid,teamAbbrev,teamName,top15PlayerCount,current_v2_point_sum_pct_cap,combined_point_sum_pct_cap,delta_pct_cap,combined_range_min_sum_pct_cap,combined_range_mid_sum_pct_cap,combined_range_max_sum_pct_cap,top8_combined_point_sum_pct_cap,top10_combined_point_sum_pct_cap,top15_combined_point_sum_pct_cap,thresholdFlag,oneA_delta_contribution,oneB_B_delta_contribution,other_delta_contribution,highest_delta_player_1,highest_delta_player_2,highest_delta_player_3,top15Players
21,IND,Indiana Pacers,15,73.508,78.823,5.315,60.8,73.536,86.272,66.363,70.443,78.823,low_or_conservative,0,5.315,0,"Bradley Beal (LOW_END_STARTER->SOLID_STARTER, 15.65->23.87, +5.32% cap)","Devon Dotson (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.88->32.88, +0% cap)","Jason Preston (LOW_END_STARTER->LOW_END_STARTER, 16.86->16.86, +0% cap)",Bradley Beal; Devon Dotson; Jason Preston; Cassius Winston; Myles Turner; Justin Patton; JT Thor; Bennedict Mathurin; T.J. Leaf; Anthony Lamb; Payton Pritchard; Caleb Houstan; Tyler Herro; Alex Reese; Julian Phillips
18,BKN,Brooklyn Nets,14,111.206,111.206,0,89.618,105.022,120.426,98.513,103.466,111.206,normal-ish,0,0,0,"Jabari Smith Jr. (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 33.64->33.64, +0% cap)","Jarrett Allen (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.52->45.52, +0% cap)","Isaiah Jackson (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 33.48->33.48, +0% cap)",Jabari Smith Jr.; Jarrett Allen; Isaiah Jackson; Théo Maledon; Josh Christopher; Daniel Gafford; Trevelin Queen; Jalen McDaniels; Rondae Hollis-Jefferson; Tim Hardaway Jr.; Justin Edwards; Aaron Wiggins; Alex Fudge; Zyon Pullin
10,OKC,Oklahoma City Thunder,15,84.08,91.568,7.488,75.782,90.253,104.725,76.909,80.731,91.568,low_or_conservative,7.488,0,0,"Frank Ntilikina (MINIMUM_LEVEL->HIGH_END_ROTATION, 3.64->15.22, +7.49% cap)","Jalen Green (SUPERSTAR_MAX->SUPERSTAR_MAX, 46.4->46.4, +0% cap)","Greg Brown III (LOW_END_STARTER->LOW_END_STARTER, 15.39->15.39, +0% cap)",Jalen Green; Greg Brown III; Kentavious Caldwell-Pope; Shai Gilgeous-Alexander; Stanley Johnson; Frank Ntilikina; Cason Wallace; Royce O'Neale; Aleksej Pokusevski; Tariq Owens; Jalen Lecque; Ivica Zubac; Mark Williams; Al-Farouq Aminu; Julian Champagnie
8,WAS,Washington Wizards,15,101.888,101.888,0,87.229,99.324,111.419,87.21,92.732,101.888,low_or_conservative,0,0,0,"Troy Brown Jr. (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.69->45.69, +0% cap)","Patrick Williams (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.6->45.6, +0% cap)","Paul George (LOW_END_STARTER->LOW_END_STARTER, 14.72->14.72, +0% cap)",Troy Brown Jr.; Patrick Williams; Paul George; Otto Porter Jr.; Derrick Walton; Kyle Anderson; Talen Horton-Tucker; John Wall; Keyonte George; Dragan Bender; Wendell Moore Jr.; Trayce Jackson-Davis; Daryl Macon; Pat Connaughton; Trey Alexander
28,MEM,Memphis Grizzlies,15,90.236,96.366,6.13,74.099,92.394,110.689,80.944,86.156,96.366,low_or_conservative,6.13,0,0,"Willie Cauley-Stein (VETERAN_MINIMUM_PLUS->HIGH_END_ROTATION, 4.38->13.86, +6.13% cap)","Paolo Banchero (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 33.53->33.53, +0% cap)","Jaren Jackson Jr. (LOW_END_STARTER->LOW_END_STARTER, 15.12->15.12, +0% cap)",Paolo Banchero; Jaren Jackson Jr.; Juhann Begarin; Franz Wagner; Jordan Schakel; Willie Cauley-Stein; Tyler Ulis; Kobi Simmons; Jaylen Wells; James Wiseman; Wenyen Gabriel; Sekou Doumbouya; Ike Anigbogu; Tristan Da Silva; Taylor Hendricks
4,LAL,Los Angeles Lakers,15,80.627,98.5,17.873,73.906,92.274,110.642,85.07,89.234,98.5,low_or_conservative,12.667,5.205,0,"Džanan Musa (MINIMUM_LEVEL->HIGH_END_ROTATION, 3.43->15.51, +7.81% cap)","Giannis Antetokounmpo (LOW_END_STARTER->SOLID_STARTER, 16.62->24.67, +5.21% cap)","Jared Harper (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 8.1->15.61, +4.86% cap)",Lonzo Ball; Cam Reddish; Giannis Antetokounmpo; Džanan Musa; Jordan Bell; TyTy Washington Jr.; Jared Harper; Adam Mokoka; Tobias Harris; Davion Mitchell; Svi Mykhailiuk; DJ Steward; Andrew Harrison; Jamison Battle; Ousmane Dieng
17,UTA,Utah Jazz,11,30.579,49.589,19.011,38.655,47.105,55.554,45.192,48.199,49.589,low_or_conservative,13.734,5.276,0,"Jakob Poeltl (VETERAN_MINIMUM_PLUS->HIGH_END_ROTATION, 4.7->15.87, +7.22% cap)","Nick Smith Jr. (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.95->16.02, +6.51% cap)","OG Anunoby (LOW_END_STARTER->SOLID_STARTER, 16.01->24.17, +5.28% cap)",Chinanu Onuaku; OG Anunoby; Nick Smith Jr.; Tyrese Haliburton; Jakob Poeltl; Christian Koloko; Kyle Filipowski; Sidy Cissoko; Walker Kessler; Ja'Kobe Walter; Bronny James
22,DAL,Dallas Mavericks,15,81.009,86.815,5.807,74.302,87.25,100.198,72.447,76.786,86.815,low_or_conservative,5.807,0,0,"Jordan Hawkins (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.22->14.2, +5.81% cap)","Zion Williamson (SUPERSTAR_MAX->SUPERSTAR_MAX, 46.4->46.4, +0% cap)","London Perrantes (LOW_END_STARTER->LOW_END_STARTER, 14.34->14.34, +0% cap)",Zion Williamson; London Perrantes; Isaiah Roby; Harrison Barnes; Devin Vassell; Gary Trent Jr.; Jordan Hawkins; Feron Hunt; Dwight Powell; Reggie Perry; Cedi Osman; David Johnson; Zhou Qi; Dwayne Bacon; Harrison Ingram
7,ATL,Atlanta Hawks,15,73.676,73.676,0,66.45,74.797,83.143,56.702,62.367,73.676,low_or_conservative,0,0,0,"Jaden Springer (SUPERSTAR_MAX->SUPERSTAR_MAX, 46.4->46.4, +0% cap)","Taurean Prince (MINIMUM_LEVEL->MINIMUM_LEVEL, 3.6->3.6, +0% cap)","John Collins (LOW_END_STARTER->LOW_END_STARTER, 14.11->14.11, +0% cap)",Jaden Springer; Taurean Prince; John Collins; Coby White; Dejounte Murray; Dennis Schröder; Jake LaRavia; Donte DiVincenzo; Jonathon Simmons; Moses Moody; Will Barton; GG Jackson II; Patrick Baldwin Jr.; Keaton Wallace; Bryn Forbes
27,TOR,Toronto Raptors,14,79.599,89.796,10.197,72.179,85.53,98.881,78.235,83.175,89.796,low_or_conservative,4.966,5.231,0,"James Harden (LOW_END_STARTER->SOLID_STARTER, 16.45->24.54, +5.23% cap)","Fred VanVleet (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 8.21->15.89, +4.97% cap)","Dalano Banton (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 33.03->33.03, +0% cap)",James Harden; Dalano Banton; Justise Winslow; Anfernee Simons; Ricky Council IV; Fred VanVleet; Malik Beasley; Malaki Branham; Georgios Papagiannis; Jordan Poole; Quinten Post; Tristan Vukcevic; Pascal Siakam; Yuki Kawamura
