tier,count,currentRangeMinM,currentRangeMaxM,candidateTemporaryRangeMinM,candidateTemporaryRangeMaxM,labeledCaseCount,meanGapM,medianGapM,severe,tooLow,tooHigh,nearBoundaryCount,humanRangeBelowTierRangeCount,humanRangeOverlapsTierRangeCount,humanRangeAboveTierRangeCount,likelyDiagnosis
SUPERSTAR_MAX,2,46.395,46.395,46.395,46.395,2,0,0,0,0,0,0,0,0,2,range_too_low
STAR_NEAR_MAX,11,40.209,45.692,40.209,45.692,11,0.79,0.72,0,0,1,9,0,3,8,placement_issue
YOUNG_PROVEN_STARTER,7,26.291,34.796,26.291,34.796,7,2.713,1.78,0,4,1,1,0,3,4,placement_issue
SOLID_STARTER,4,9.279,18.558,18.558,26.291,4,2.88,2.675,0,1,1,1,1,2,1,range_too_low
LOW_END_STARTER,7,9.279,18.558,9.279,18.558,7,2.827,2.22,0,3,1,1,0,4,3,range_too_low
HIGH_END_ROTATION,4,4.267,6.705,10.826,18.558,4,1.842,1.41,0,1,1,0,0,3,1,range_too_low
SPECIALIST_ROTATION,3,5.413,8.506,5.413,8.506,3,1.37,1.14,0,1,0,1,0,2,1,range_too_low
YOUNG_UPSIDE_SUSPECT,1,3.866,6.959,3.866,6.959,1,2.81,2.81,0,1,0,0,0,0,1,sample_too_small
VETERAN_ROTATION_GUARD,1,6.186,9.279,6.186,9.279,1,2.3,2.3,0,1,0,0,0,0,1,sample_too_small
LOW_ROTATION_PLUS,1,3.093,5.413,3.093,5.413,1,1.88,1.88,0,1,0,0,0,0,1,sample_too_small
VETERAN_MINIMUM_PLUS,1,3.71,5.413,3.71,5.413,1,0,0,0,0,0,0,0,1,0,sample_too_small
MINIMUM_LEVEL,6,3.467,3.987,3.467,3.987,6,0.428,0.05,0,1,0,4,0,5,1,range_too_low
